ID, Edition Year, Date, Phase, Team 1, Team 2, Score, Score at Interval, Shots (T1/T2), Penalty Shots (T1/T2), Yellow Cards (T1/T2), 2-Min (T1/T2), Red Cards (T1/T2), Stadium
20, 2026, 18/01/2026, Group F, Poland, Island, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Kristianstad (Kristianstad Arena)
21, 2026, 18/01/2026, Group B, Romania, Denmark, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Herning (Jyske Bank Boxen)
22, 2026, 18/01/2026, Group F, Italy, Hungary, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Kristianstad (Kristianstad Arena)
23, 2026, 19/01/2026, Group E, Netherlands, Croatia, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Malmö (Malmö Arena)
24, 2026, 19/01/2026, Group E, Georgia, Sweden, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Malmö (Malmö Arena)
25, 2026, 19/01/2026, Group A, Austria, Serbia, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Herning (Jyske Bank Boxen)
26, 2026, 19/01/2026, Group C, Tschechien, Ukraine, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Oslo/Bærum (Unity Arena)
27, 2026, 19/01/2026, Group A, Spain, Germany, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Herning (Jyske Bank Boxen)
28, 2026, 19/01/2026, Group C, France, Norway, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Oslo/Bærum (Unity Arena)
29, 2026, 20/01/2026, Group B, North Macedonia, Romania, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Herning (Jyske Bank Boxen)
30, 2026, 20/01/2026, Group D, Montenegro, Switzerland, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Oslo/Bærum (Unity Arena)
31, 2026, 20/01/2026, Group F, Poland, Italy, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Kristianstad (Kristianstad Arena)
32, 2026, 20/01/2026, Group B, Denmark, Portugal, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Herning (Jyske Bank Boxen)
33, 2026, 20/01/2026, Group D, Faroe Islands, Slovenia, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Oslo/Bærum (Unity Arena)
34, 2026, 20/01/2026, Group F, Hungary, Island, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Kristianstad (Kristianstad Arena)
35, 2026, 21/01/2026, Group E, Netherlands, Georgia, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Malmö (Malmö Arena)
36, 2026, 21/01/2026, Group E, Sweden, Croatia, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Malmö (Malmö Arena)
