Line, From, To, Length [km], # Stops, Stops, Color, Ride time [min], Opened
1, Piraeus, Kifissia, 25.7, 24, Piraeus - Faliro - Moschato - Kallithea - Tavros - Petralona - Thissio - Monastiraki - Omonia - Victoria - Attiki - Aghios Nikolaos - Kato Patissia - Aghios Eleftherios - Ano Patissia - Perissos - Pefkakia - Nea Ionia - Iraklio - Irini - Neratziotissa - Maroussi - Kat - Kifissia, green, 51, 27 February 1869
2, Anthoupoli, Elliniko, 18.7, 20, Anthoupoli - Peristeri - Aghios Antonios - Sepolia - Attiki - Larissa St. - Metaxourghio - Omonia - Panepistimio - Syntagma - Akropoli - Sygroy - Fix - Neos Kosmos - Aghios Ioannis - Dafni - Aghios Dimitrios - Ilioupoli - Alimos - Argyroupoli - Elliniko, red, 32, 28 January 2000
3, Dimotiko Theatro, Airport, 47.3, 27, Dimotiko Theatro - Piraeus - Maniatika - Nikea - Korydallos - Aghia Varvara - Aghia Marina - Egaleo - Eleonas - Kerameikos - Monastiraki - Syntagma - Evangelismos - Megaro Moussikis - Ambelokipi - Panormou - Katehaki - Ethniki Amyna - Holargos - Nomismatokopio - Aghia Paraskevi - Halandri - Douk. Plakentias - Pallini - Peania Kantza - Koropi - Airport, blue, 63, 28 January 2000
