Line, From, To, Length [km], # Stops, Stops, Color, Opened, 
Línea A, San Pedrito, Plaza de Mayo, 9.8, 18, San Pedrito - Piedras - Perú - Sáenz Peña - Lima - Pasco - Congreso - San José de Flores - Carabobo - Alberti - Loria - Plaza Miserere - Río de Janeiro - Castro Barros - Primera Junta - Acoyte - Puán - Plaza de Mayo , light blue, 1 December 1913, 
Línea B, Juan Manuel de Rosas, L.N.Alem, 12.5, 17, Juan Manuel de Rosas - Echeverría - De los Incas - Tronador - Federico Lacroze - Dorrego - Malabia - Ángel Gallardo - Medrano - Carlos Gardel - Pueyrredón - Pasteur-Amia - Callao - Uruguay - Carlos Pellegrini - Florida - Leandro N. Alem, red, 17 October 1930, 
Línea C, Constitución, Retiro , 4.4, 9, Constitución - San Juan - Independencia - Moreno - Avenida de Mayo - Diagonal Norte - Lavalle - General San Martín - Retiro, dark blue, 9 November 1934, 
Línea D, Congreso de Tucumán, Catedral, 11, 16, Congreso de Tucumán - Juramento - José Hernández - Olleros - Ministro Carranza - Palermo - Plaza Italia - Scalabrini Ortiz - Bulnes - Agüero - Pueyrredón - Facultad de Medicina - Callao - Tribunales - 9 de Julio - Catedral, green, 3 June 1937, 
Línea E, Plaza de los Virreyes, Retiro , 11.2, 18, Plaza de los Virreyes (Terminal) - Varela - Medalla Milagrosa - Emilio Mitre - José María Moreno - Avenida La Plata - Boedo - General Urquiza - Jujuy - Pichincha - Entre Ríos - San José - Independencia - Belgrano - Bolívar - Correo Central - Catalinas - Retiro, lila, 20 June 1944, 
Línea H, Hospitales, Julieta Lanteri-Facultad de Derecho, 8, 12, Hospitales - Parque Patricios - Caseros - Inclán - Humberto I - Venezuela - Once - Corrientes - Córdoba - Santa Fe - Las Heras - Facultad de Derecho, yellow, 18 October 2007, 
Premetro, Intendente Saguie, General Savio, 7.4, 18, Intendente Saguier - Balbastro - Mariano Acosta - Somellera - Ana María Janer - Nuestra Señora de Fátima - Fernández de la Cruz - Presidente Illia - Parque de la Ciudad - Cecilia Grierson - Escalada - Pola - (Ana Diaz - Centro Cívico Lugano) or (Larrazábal - Nicolás Descalzi - Gabino Ezeiza - General Savio), -, 1987, 
