Country, Type, Currency, Factor, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, Notes, 
Portugal, imports, euro, 1, , , , 20205747613, 23512986597, 25837501934, 28133141822, 32098794235, 36264083925, 39649521437, 45705780272, 46560016510, 45079920753, 44441320020, 49259654909, 51379218326, 56294640651, 59926542840, 64193885647, 51378500643, 58647391261, 59551441805, 56374082889, 57012824865, 59032120694, 60344799543, 61424014899, 69688564626, 75439246300, 79977128345, 68145567972, 83145714809, 109561561357, 105148409435, 107493232233, , 
Portugal, exports, euro, 1, , , , , , , , , , , 27214763474, 27858857619, 28460850290, 29260273064, 30920097584, 31137084365, 35640473472, 38294061544, 38847346198, 31696763402, 37267906508, 42828033392, 45213015628, 47302913319, 48053695644, 49634001363, 50038841230, 55017987697, 57849991618, 59902809944, 53757392564, 63618525288, 78402738371, 77340161393, 79233975077, , 
Germany, exports, euro, 1000, 348116736, 340425021, 343180463, 321288985, 353084219, 383232153, 403376908, 454341981, 488370582, 510007657, 597439740, 638268360, 651319674, 664454622, 731543783, 786265926, 893041940, 965235559, 984139797, 803311845, 951959469, 1061225291, 1092627362, 1088025202, 1123745925, 1193555087, 1203833146, 1278876401, 1317440164, 1328151566, 1206928464, 1371397051, 1594341695, 1575208593, 1548298214, , 
Germany, imports, euro, 1000, 293215294, 329228193, 325972181, 289644388, 315444274, 339617500, 352995286, 394793520, 423451704, 444796643, 538311412, 542773664, 518531788, 534534079, 575448045, 628086808, 733993891, 769887464, 805842470, 664614892, 797096855, 902522833, 899404978, 890392835, 910144767, 949244874, 954917389, 1030977365, 1088720408, 1104141069, 1026501801, 1195498855, 1506254127, 1357464950, 1307842640, , 
