Line, From, To, Length [km], # Stops, Stops, Color, Ride time [min], Opened
M1, Vanløse, Vestamager, 13.1, 15, Vanløse - Flintholm - Lindevang - Fasanvej - Frederiksberg - Forum - Nørreport - Kongens Nytorv - Christianshavn - Islands Brygge - DR Byen Universitetet - Sundby - Bella Center - Ørestad - Vestamager, green, 23, 19 October 2002
M2, Vanløse, Københavns Lufthavn (Airport), 14.2, 16, Vanløse - Flintholm - Lindevang - Fasanvej - Frederiksberg - Forum - Nørreport - Kongens Nytorv - Christianshavn - Amagerbro - Lergravsparken - Øresund - Amager Strand - Femøren - Kastrup - Københavns Lufthavn (Airport), yellow, 24, 19 October 2002
M3, København H, København H, 15.5, 17, København H (Central Station) - Rådhuspladsen - Gammel Strand  - Kongens Nytorv  - Marmorkirken - Østerport  - Trianglen  - Poul Henningsens Plads  - Vibenshus Runddel  - Skjolds Plads  - Nørrebro  - Nørrebros Runddel  - Nuuks Plads  - Aksel Møllers Have  - Frederiksberg  - Frederiksberg Allé  - Enghave Plads - København H (Central Station), red, 28, 29 September 2019
M4, Orientkaj, København Syd, 10.2, 13, Orientkaj - Nordhavn - Østerport - Marmorkirken - Kongens Nytorv - Gammel Strand - Rådhuspladsen - København H - Havneholmen- Enghave Brygge - Sluseholmen - Mozarts Plads - København Syd, blue, 12, 28 March 2020
