Line, From, To, Length, # Stops, Stops, Color, Opened, 
M1, Slivnitsa(Сливница), Business Park (Бизнес Парк), 14.8, 16, , red, 1998, 
M2, Obelya (Обеля), Vitosha (Витоша), 11.4, 13, , blue, 2012, 
M3, Hadzhi Dimitar (Хаджи Димитър), Gorna Banya (Горна баня), 11.8, 12, , green, 2020, 
M4, Obelya (Обеля), Sofia Airport (Летище София), 26.1, 20, , yellow, 2015, 
