District,Capital,ISO3166-2,Area_km2,SubDistricts,Population_1982,Population_1992,Population_2001,Population_2011,Population_2021
Nicosia,Nicosia,CY-01,2710,-,210684,249601,279545,326980,350035
Limassol,Limassol,CY-02,1393,-,145614,177440,201057,235330,262157
Larnaca,Larnaca,CY-03,1041,-,84496,102794,117124,143192,155765
Famagusta,Famagusta,CY-04,244,-,25659,31513,38371,46629,54318
Paphos,Paphos,CY-05,1390,-,45645,53665,67432,88276,101106
Kyrenia,Kyrenia,CY-06,643.9,-,,,,,
