Line, From, To, Length [km], # Stops, Stops, Color, Opened, 
U1, Oberlaa, Leopoldau, 19.2, 24, Oberlaa - Neulaa - Alaudagasse - Altes Landgut - Troststraße - Reumannplatz - Keplerplatz - Südtiroler Platz-Hauptbahnhof - Taubstummengasse - Karlsplatz - Stephansplatz - Schwedenplatz - Nestroyplatz - Praterstern - Vorgartenstraße - Donauinsel - Kaisermühlen / Vienna International Centre - Alte Donau - Kagran - Kagraner Platz - Aderklaaer Straße - Grossfeldsiedlung - Leopoldau, Red, 25 February 1978, 
U2, Karlsplatz, Seestadt, 17.2, 20, Karlsplatz - Museumsquartier - Volkstheater - Rathaus - Schottentor - Schottenring - Taborstraße - Praterstern - Messe-Prater - Krieau - Stadion - Donaumarina - Donaustadtbrücke - Stadlau - Hardeggasse - Donauspital - Aspernstraße - Hausfeldstraße - Aspern Nord - Seestadt , Purple, 30 August 1980, 
U3, Ottakring, Simmering, 13.5, 21, Ottakring - Kendlerstraße - Hütteldorfer Straße - Johnstraße - Schweglerstraße - Westbahnhof - Zieglergasse - Neubaugasse - Volkstheater - Herrengasse - Stephansplatz - Stubentor - Landstraße - Rochusgasse - Kardinal-Nagl-Platz - Schlachthausgasse - Erdberg - Gasometer - Zippererstraße - Enkplatz - Simmering, Orange, 6 April 1991, 
U4, Hütteldorf, Heiligenstadt, 16.5, 20, Hütteldorf - Ober St. Veit - Unter St. Veit - Braunschweiggasse - Hietzing - Schönbrunn - Meidling Hauptstraße - Längenfeldgasse - Margaretengürtel - Pilgramgasse - Kettenbrückengasse - Karlsplatz - Stadtpark - Landstraße - Schwedenplatz - Schottenring - Roßauer Lände - Friedensbrücke - Spittelau - Heiligenstadt, Green, 8 May 1976, 
U6, Siebenhirten, Floridsdorf, 17.4, 24, Siebenhirten - Perfektastraße - Erlaaer Straße - Alterlaa - Am Schöpfwerk - Tscherttegasse - Philadelphiabrücke - Niederhofstraße - Längenfeldgasse - Gumpendorfer Straße - Westbahnhof - Burggasse-Stadthalle - Thaliastraße - Josefstädter Straße - Alser Straße - Michelbeuern-AKH - Währinger Straße-Volksoper - Nußdorfer Straße - Spittelau - Handelskai - Dresdner Straße - Neue Donau - Floridsdorf, Brown, 7 October 1989, 
