Line, From, To, Length [km], # Stops, Stops, Color, Opened, 
Red, Icheri Sheher, Hazi Aslanov, 20.1, 13, İçərişəhər (Icheri Sheher) - Sahil (Sahil) - 28 May (28 May) - Ganjlik (Gənclik) - Nariman Narimanov (Nəriman Nərimanov) - Bakmil (Bakmil) or (Ulduz (Ulduz) - Koroğlu (Koroğlu) - Gara Garayev (Qara Qarayev) - Neftchilar (Neftçilər) - Xalqlar Dostluğu (Halglar Doslugu) - Əhmədli (Ahmedli) - Həzi Aslanov (Hazi Aslanov)), Red, 06/11/1967, 
Green, Darnagul, Bakmil, 12.2, 8, Dərnəgül (Darnagul) - Azadlıq prospekti (Azadlig Prospekti) - Nəsimi (Nasimi) - Memar Əcəmi (Memar Ajami) - 20 Yanvar (20 Yanvar) - İnşaatçılar (Inshaatchilar) - Elmlər Akademiyası (Elmler Akademiyasi) - Nizami Gəncəvi (Nizami Ganjavi) - 28 May (28 May) - Gənclik (Ganjlik) - Nəriman Nərimanov (Nariman Narimanov) - Bakmil, Green, 1976, 
Green, Shah Ismail Khatai, Jafar Jabbarly, 2.3, 2, Shah Ismail Khatai - Jafar Jabbarly, Green, 22/02/1968, 
Purple, Khojasan, 8 Noyabr, 6.1, 4, Xocəsən (Khojasan) - Memar Ajami-2 (Memar Əcəmi-2) - Avtovağzal (Avtovagzal) - 8 Noyabr (8 Noyabr), Purple, 19/04/2016, 
