L ine, From, To, Length [km], # Stops, Stops, Color, 
Seagull Line, Reboleira, Santa Apolónia, 14, 18, Reboleira - Amadora Este - Alfornelos - Pontinha - Carnide - Colégio Militar / Luz - Alto dos Moinhos - Laranjeiras - Jardim Zoológico - Praça de Espanha - São Sebastião - Parque - Marquês de Pombal - Avenida - Restauradores - Baixa-Chiado - Terreiro do Paço - Santa Apolónia, Blue
Sunflower Line, Odivelas, Rato, 11, 13, Odivelas - Senhor Roubado - Ameixoeira - Lumiar - Quinta das Conchas - Campo Grande - Cidade Universitária - Entre Campos - Campo Pequeno - Saldanha - Picoas - Marquês de Pombal - Rato, Yellow
Caravel Line, Telheiras, Cais do Sodré, 9, 13, Telheiras - Campo Grande - Alvalade - Roma - Areeiro - Alameda - Arroios - Anjos - Intendente - Martim Moniz - Rossio - Baixa-Chiado - Cais do Sodré, Green
Orient Line, Aeroporto, São Sebastião, 11.5, 12, São Sebastião - Saldanha - Alameda - Olaias - Bela Vista - Chelas - Olivais - Cabo Ruivo - Oriente - Moscavide - Encarnação - Aeroporto‍, Red
