Line, From, To, 
S1, Herrenberg, Kirchheim, 
S2, Filderstadt, Schorndorf, 
S3, Flughafen/Messe, Backnang, 
S4, Schwabstraße, Backnang, 
S5, Schwabstraße, Bietigheim-Bissingen, 
S6, Schwabstraße, Weil der Stadt, 
S11, Herrenberg, Neckarpark, 
S60, Schwabstraße, Böblingen, 
S62, Feuer-bach, Weil der Stadt, 
