Line, From, To, Length [km], # Stops, Stops, Color, Opened, 
M1, Anderlues-Monument, Anderlues-Monument, 32.1, 40, Anderlues-Monument - Route de la Station - Jonction - Route de Thuin - Surchiste - Coron du Berger - Pétria - Fontaine - Paradis - Leernes - Morgnies - Moulin - De Cartier - Providence - Dampremy - Piges - Ouest - Villette - Sud - Tirou - Parc - Janson - Waterloo - Palais Beaux-Arts - Piges - Dampremy - Providence - De Cartier - Moulin - Morgnies - Leernes - Paradis - Fontaine - Pétria - Coron du Berger - Surchiste - Route de Thuin - Jonction - Route de la Station - Anderlues-Monument, red, 27 February 2012, 
M2, Anderlues-Monument, Anderlues-Monument, 32.1, 40, Anderlues-Monument - Route de la Station - Jonction - Route de Thuin - Surchiste - Coron du Berger - Pétria - Fontaine - Paradis - Leernes - Morgnies - Moulin - De Cartier - Providence - Dampremy - Piges - Palais Beaux-Arts - Waterloo - Janson - Parc - Tirou - Sud - Villette - Ouest - Palais Beaux-Arts - Piges - Dampremy - Providence - De Cartier - Moulin - Morgnies - Leernes - Paradis - Fontaine - Pétria - Coron du Berger - Surchiste - Route de Thuin - Jonction - Route de la Station - Anderlues-Monument, green, 27 February 2012, 
M3, Faubourg de Bruxelles, Faubourg de Bruxelles, 19.5, 38, Faubourg de Bruxelles - Rue du Chemin de Fer - Emailleries - City Nord - Chaussée de Fleurus - Carrosse - Madeleine - Rue Berteau - Chaussée de Gilly - Puissant - Saint Antoine - Marie Curie - Deschassis - La Planche - Sacré Madame - Palais Beaux-Arts - Ouest - Villette - Sud - Tirou - Parc - Janson - Waterloo - Palais Beaux-Arts - Sacré Madame - La Planche - Deschassis - Marie Curie - Saint Antoine - Puissant - Chaussée de Gilly - Rue Berteau - Madeleine - Carrosse - Rue Léopold - Calvaire - Bruyerre - Faubourg de Bruxelles, yellow, 22 June 2013, 
M4, Soleilmont, Soleilmont, 12, 21, Soleilmont - Sart-Culpart - Marabout - Gilly - Gazomètre - Samaritaine - Waterloo - Palais Beaux-Arts - Ouest - Villette - Sud - Tirou - Parc - Janson - Waterloo - Samaritaine - Gazomètre - Gilly - Marabout - Sart-Culpart - Soleilmont, blue, 27 February 2012, 
