Ano, Resultados (Candidato Votos %), Inscritos, Votantes Votos, Votantes %, Brancos Votos, Brancos %, Nulos Votos, Nulos %, 
2001, (JORGE SAMPAIO 2411453 55.76); (FERREIRA AMARAL 1493858 34.54); (ANTONIO ABREU 221971 5.13); (FERNANDO ROSAS 128927 2.98); (GARCIA PEREIRA 68577 1.59), 8746746, 4453011, 50.91, 81870, 1.84, 46355, 1.04, 
2006, (CAVACO SILVA 2746689 50.59); (MANUEL ALEGRE 1125077 20.72); (MÁRIO SOARES 778781 14.34); (JERÓNIMO SOUSA 466507 8.59); (FRANCISCO LOUÇÃ 288261 5.31); (GARCIA PEREIRA 23622 0.44), 8835237, 5531265, 62.6, 58901, 1.06, 43427, 0.79, 
2011, (Cavaco Silva 2231603 52.95); (Manuel Alegre 832637 19.76); (Fernando Nobre 594068 14.1); (Francisco Lopes 300921 7.14); (José Coelho 189091 4.49); (Defensor Moura 66112 1.57), 9656797, 4492297, 46.52, 191284, 4.26, 86581, 1.93, 
2016, (Marcelo Rebelo de Sousa 2411925 52.00); (Sampaio da Nóvoa 1061390 22.88); (Marisa Matias 469582 10.12); (Maria de Belém 196720 4.24); (Edgar Silva 183009 3.95); (Vitorino Silva 152094 3.28); (Paulo de Morais 100008 2.16); (Henrique Neto 38982 0.84); (Jorge Sequeira 13771 0.30); (Cândido Ferreira 10585 0.23), 9741377, 4740558, 48.66, 58714, 1.24, 43778, 0.92, 
2021, (Marcelo Rebelo de Sousa 2534745 60.70); Ana Gomes 541556 12.97); André Ventura 496773 11.90); João Ferreira 180518 4.32); Marisa Matias 164741 3.95); Tiago Mayan Gonçalves 134484 3.22); Vitorino Silva 122774 2.94), 10864327, 4262672, 39.24, 47055, 1.1, 40026, 0.94, 
