Line, From, To, Length [km], # Stops, Stops, Color, Opened, 
M1, Rho Fiera / Bisceglie, Sesto 1º Maggio, 26.7, 38, Sesto 1° Maggio FS - Sesto Rondò - Sesto Marelli - Villa San Giovanni - Precotto - Gorla - Turro - Rovereto - Pasteur - Loreto - Lima - Venezia - Palestro - San Babila - Duomo - Cordusio - Cairoli - Cadorna FN - Conciliazione - Pagano - (Buonarroti - Amendola Fiera - Lotto - QT8 - Lampugnano - Uruguay - Bonola - San Leonardo - Molino Dorino - Pero - Rho Fiera) or (Wagner - De Angeli - Gambara - Bande Nere - Primaticcio - Inganni - Bisceglie), red, 1964, 
M2, Assago Milanofiori Forum / Abbiategrasso, Cologno Nord / Gessate, 39.9, 35, Abbiategrasso or (Assago Milanofiori Forum - Assago Milanofiori Nord) - Romolo - Porta Genova FS - Sant'Agostino - Sant'Ambrogio - Cadorna FN - Lanza - Moscova - Porta Garibaldi - Gioia - Milano Centrale - Caiazzo - Loreto - Piola - Lambrate - Udine - Cimiano - Crescenzago - Cascina Gobba - (Vimodrone - Cascina Burrona - Cernusco - Villa Fiorita - Cassina de' Pecchi - Bussero - Villa Pompea - Gorgonzola - Cascina Antonietta - Gessate) or (Cologno Sud - Cologno Centro - Cologno Nord), green, 1969, 
M3, Comasina, San Donato, 17.3, 21, Comasina - Affori FN - Affori Centro - Dergano - Maciachini - Zara - Sondrio - Centrale - Repubblica - Turati - Montenapoleone - Duomo - Missori - Crocetta - Porta Romana - Lodi T.I.B.B. - Brenta - Corvetto - Porto di Mare - Rogoredo - San Donato, yellow, 1990, 
M4, Linate Aeroporto, San Cristoforo FS, 15, 21, San Cristoforo FS - Segneri - Gelsomini - Frattini - Tolstoj - Bolivar - California - Coni Zugna - Sant'Ambrogio - De Amicis - Vetra - Santa Sofia - Sforza Policlinico - San Babila - Tricolore - Dateo - Susa - Argonne - Stazione Forlanini - Repetti - Linate Aeroporto, blue, 2022, 
M5, San Siro Stadio, Bignami, 12.9, 19, Bignami Parco Nord - Ponale - Bicocca - Ca' Granda - Istria - Marche - Zara - Isola - Garibaldi FS - Monumentale - Cenisio - Gerusalemme - Domodossola FN - Tre Torri - Portello - Lotto - Segesta - San Siro Ippodromo - San Siro Stadio, lila, 2013, 
