Line, From, To, Stops, Ride time [min], 
417, Porreres ,  Son Carrió, Porreres > Vilafranca > Manacor > Sant Llorenç > Son Carrió, , 
421, Colònia de Sant Pere ,  Artà, Colònia de Sant Pere > Artà, , 
422, Cala Mesquida ,  Cala Rajada, Cala Mesquida > Capdepera > Cala Rajada, , 
423, Font de sa Cala ,  Cala Rajada, Cala Provençals > Sa Font de sa Cala > N'Aguait > Capdepera > Cala Rajada, , 
424, Cala Rajada ,  Portocristo, Cala Rajada > Capdepera > Canyamel > Son Servera > Cala Bona > Cala Millor > sa Coma > S'Illot > Portocristo, , 
425, Cala Bona ,  Portocristo, Cala Bona > Cala Millor > sa Coma > S'Illot > Portocristo, , 
427, Cala Mendia ,  Portocristo, Portocristo > Cala Anguila - Cala Magrana > Cala Mendia > Cala Romàntica, , 
428, Cala d'Or ,  Portocristo, Cala d'Or > S'Horta > Portocolom > Cala Tropicana > Cales de Mallorca > Portocristo, , 
431d, Algaida ,  Llucmajor, Algaida > Randa > Llucmajor, , 
432, Sineu ,  Algaida, Sineu > Lloret > Pina > Algaida, , 
441, Ariany ,  Sineu, Sineu > Ariany > Maria de la Salut, , 
442, Sant Joan, , Sineu > Sant Joan > Vilafranca, , 
501, Manacor ,  Palma, Palma > Llucmajor > Campos > Felanitx > Manacor, , 
501e, Campos ,  Palma, Campos > Palma, , 
504, Tolleric ,  Palma, Tolleric > Badia Gran > Badia Blava > Sa Torre > Puigderrós > Maioris Decima > Les Palmeres > Cala Blava > Son Verí Nou > S'Arenal > Palma, , 
505, Cala Pi ,  Tolleric, Cala Pi > Tolleric, , 
508, Sa Ràpita ,  Palma, sa Ràpita > Son Bieló > S'Estanyol > Llucmajor > S'Arenal > Palma, , 
512, Portocolom ,  Felanitx, Felanitx > Portocolom, , 
514, Cala d'Or ,  Felanitx , Cala d'Or > Calonge > S'Horta > Es Carritxó > Cas Concos > Felanitx > Porreres, , 
515, Cala d'Or ,  Campos, Cala d'Or > Portopetro > S'Alqueria Blanca > Santanyí > Campos, , 
515e, Cala d'Or ,  Palma, Cala d'Or > Portopetro > S'Alqueria Blanca > Santanyí > Palma, , 
516, Cala Figuera ,  Campos, Cala Figuera > Cala Santanyí > Son Moja > Santanyí > Campos, , 
517, Santanyí ,  Colònia de Sant Jordi , Santanyí > Es Llombards > Ses Salines > Colònia de Sant Jordi > Campos, , 
518, Sa Ràpita ,  Campos, sa Ràpita > Campos, , 
519d, Cala Pi ,  Llucmajor, Cala Pi > Llucmajor, , 
521, Cala d'Or ,  Cala Mondragó, Cala d'Or > Portopetro > Sa Barca Trencada > Cala Mondragó, , 
A11, Peguera ,  Aeroport, Peguera > Galatzó > Santa Ponça > Magaluf > Palmanova > Son Caliu > Costa d'en Blanes - Portals Nous > Portals Nous > Bendinat > Aeroport, , 
A32, Can Picafort ,  Aeroport, Can Picafort > Platja de Muro > Platja d'Alcúdia > Port d'Alcúdia > Alcúdia > Sa Pobla > Inca > Aeroport, , 
A33, Port d'Alcúdia ,  Aeroport, Port d'Alcúdia > Alcúdia > Sa Pobla > Inca > Aeroport, , 
A42, Cala Bona ,  Aeroport, Cala Bona > Cala Millor > sa Coma > S'Illot > Portocristo > Manacor > Vilafranca > Montuïri > Algaida > Aeroport, , 
A43, Manacor ,  Aeroport, Manacor > Vilafranca > Montuïri > Algaida > Aeroport, , 
A51, Campos ,  Aeroport, Campos > Llucmajor > S'Arenal > Aeroport, , 
