Line, From, To, Length [km], # Stops, Stops, Color, Ride time [min], Opened
6, Syntagma, Pikrodafni, 18.2, 19, Syntagma - Zappio - L. Vouliagmenis - Fix - Kasomouli - Neos Kosmos - Baknana - Aegeou - Aghia Fotini - Megalou Alexandrou - Aghia Paraskevi - Medeas Mykalis - Evangeliki Scholi - Achilleos - Amfitheas - Panaghitsa - Mousson - Edem - Pikrodafni, green, 33, 2004
7, Aghia Triada, Asklepieio Voulas, 16.1, 36, Aghia Triada - Platia Ippodamias - 34Ou Syntagmatos - Androutsou - Skylitsi - S.E.F. - Neo Faliro - Moschato - Kallithea - Tzitzifies - Delta Falirou - Aghia Skepi - Trocadero - Parko Flisvou - Flisvos - Batis - Edem - Pikrodafni - Marina Alimou - Kalamaki - Zefyros - Loutra Alimou - Elliniko - 1St Ag. Kosma - 2Nd Ag. Kosma - Aghios Alexandros - Hellinon Olympionikon - Kentro Istioploias - Platia Vergoti - Paralia Glyfadas - Paleo Dimarhio - Platia Katraki - Agg. Metaxa - Platia Esperidon - Kolymvitirio - Asklepieio Voulas, green, 51, 2004
