NCC, Country, Company, 
02, Benin, Moov, 
02, Bolivia, Entel Movil, 
02, Botswana, Orange, 
02, Brazil, TIM, 
02, Brunei, Progresif Cellular / B-Mobile, 
02, Burkina Faso, Orange, 
02, Cambodia, Smart, 
02, Cameroon, Orange, 
02, Cape Verde, Unitel T+, 
02, Central African Republic, Telecel, 
02, Chile, Movistar, 
02, China, China Mobile, 
02, Comoros, Telma, 
02, Costa Rica, Kolbi / ICE, 
02, Croatia, Telemach / Tele2, 
02, Cyprus, Cytamobile-Vodafone, 
02, Czech Republic, O2, 
02, Democratic Republic of Congo, Airtel, 
02, Denmark, Telenor, 
02, Dominican Republic, Claro, 
02, East Timor, Timor Telecom, 
02, Ecuador, CNT movil, 
02, Egypt, Vodafone, 
02, El Salvador, Digicel, 
02, Estonia, Elisa, 
02, Ethiopia, Safaricom, 
02, Faroe Islands, Hey / Kall, 
02, Fiji, DigiCell, 
02, France, Orange, 
02, Gambia, Africel, 
02, Georgia, MagtiCom, 
02, Germany, Vodafone, 
02, Ghana, Vodafone, 
02, Greece, Cosmote, 
02, Guadeloupe and Martinique and French Guiana, SFR, 
02, Guatemala, Tigo, 
02, Guinea-Bissau, MTN, 
02, Guyana, Cellink, 
02, Haiti, Digicel, 
02, Honduras, Tigo, 
02, Hong Kong, SUN Mobile / CSL, 
02, Hungary, MVM NET, 
02, Iceland, Vodafone, 
02, India, Airtel, 
02, Ireland, 3, 
02, Israel, Cellcom, 
02, Ivory Coast, Moov, 
02, Kazakhstan, Kcell, 
02, Kenya, Safaricom, 
02, Kosovo, IPKO, 
02, Kuwait, Zain, 
02, Laos, ETL Mobile, 
02, Latvia, Tele2, 
02, Lesotho, Econet, 
02, Liechtenstein, 7acht, 
02, Lithuania, Bite, 
02, Macao, China Telecom, 
02, Madagascar, Orange, 
02, Maldives, Ooredoo, 
02, Mali, Orange, 
02, Mauritania, Chinguitel, 
02, Mauritius, Chili, 
02, Mexico, Telcel, 
02, Moldova, Moldcell, 
02, Montenegro, Telekom / T-mobile, 
02, Morocco, inwi, 
02, Nauru, Digicel, 
02, Nepal, Ncell, 
02, Netherlands, T-Mobile, 
02, New Zealand, Spark Mobile, 
02, Niger, Airtel, 
02, North Macedonia, A1, 
02, Norway, Telia / NetCom, 
02, Oman, Omantel Mobile, 
02, Palau, PT Waves, 
02, Panama, Movistar, 
02, Papua New Guinea, Citifon, 
02, Paraguay, Claro, 
02, Philippines, Globe, 
02, Poland, T-Mobile, 
02, Qatar, Vodafone, 
02, Reunion, Only, 
02, Romania, Telekom, 
02, Russia, Megafon, 
02, Saint Pierre and Miquelon, Globaltel, 
02, Sao Tome and Principe, Unitel, 
02, Senegal, Free, 
02, Singapore, SingTel, 
02, Slovakia, Telekom, 
