BNML (Business Narrative Markup Language), 
BPML (Business Process Modeling Language), 
FpML (Financial Product Markup Language), 
XBRL (eXtensible Business Reporting Language), 
BulletML, 
OBML (Opera Binary Markup Language), 
SMIL (Synchronized Multimedia Integration Language), 
Fountain, 
CFML (ColdFusion Markup Language), 
Emotion  
GolfML, 
InkML, 
Meta Content Framework, 
Parameter Value Language, 
Serializations of RDF (Resource Description Framework) like RDF/XML and RDF/N3, 
SBML (Systems Biology Markup Language),  
SML (Spacecraft Markup Language),  
VoiceXML, 
VHML (Virtual Human Markup Language), 
XBEL (XML Bookmark Exchange Language), 
XBL (eXtensible Bindings Language), 
XMPP (Extensible Messaging and Presence Protocol), 
ASN.1 (Abstract Syntax Notation One),  
EBML,  
LML,  
GML,  
SGML,  
XML,  
YAML,  
GLML - General-purpose Legal   
HyperText Markup Language (HTML),  
Keyhole Markup Language (KML/KMZ)[,  
Markdown,  
Mathematical Markup Language (MathML),  
Scalable Vector Graphics (SVG),  
TeX LaTeX,  
Wiki markup,  
Extensible 3D (X3D),  
Extensible HyperText Markup Language (XHTML),  
XHTML Basic,  
XHTML Mobile Profile (XHTML MP),  
Standard Generalized Markup Language (SGML),  
Extensible Markup Language (XML),  
ABC notation,  
Amigaguide,  
AsciiDoc,  
AsciiDoctor,  
Chemical Markup Language (CML),  
Compact HyperText Markup Language (C-HTML),  
Computable Document Format,  
ConTeXt,  
Darwin Information Typing Architecture (DITA),  
DocBook,  
eLML,  
Encoded Archival Description (EAD),  
Enriched text,  
GML,  
Generalized Markup Language (GML),  
Geography Markup Language (GML),  
Gesture Markup Language (GML),  
Graffiti Markup Language (GML),  
GNU TeXmacs format,  
Guide Markup Language (GuideML),  
Handheld Device Markup Language (HDML),  
Help Markup Language (HelpML),  
Hypermedia/Time-based Structuring Language (HyTime),  
HyperTeX,  
Information Presentation Facility (IPF),  
JATS (Journal Article Tag Suite),  
LilyPond,  
LinuxDoc,  
Lout,  
Maker Interchange Format (MIF),  
Microsoft Assistance Markup Language (MAML),  
Music Encoding Initiative (MEI),  
Music Extensible Markup Language (MusicXML),  
Open Mathematical Documents (OMDoc),  
OpenMath,  
Parameter Value Language,  
Plain Old Documentation (POD),  
Pillar,  
PUB (markup language),  
Remote Telescope Markup Language (RTML),  
reStructuredText (reSt),  
Retail Template Markup Language (RTML),  
Revisable-Form Text (RFT),  
S1000D,  
Scribble,  
Scribe,  
Script,  
SiSU Structured Information Serialized Units,  
SKiCal,  
Skriv,  
Texinfo,  
Text Encoding Initiative (TEI),  
Textile (markup language),  
Time Management Markup Language (TMML),  
troff (typesetter runoff) groff (GNU runoff),  
UDO (markup language),  
Wireless Markup Language (WML),  
Extensible Application Markup Language (XAML),  
Xupl,  
Compound Document Format,  
Office Open XML (OOXML),  
SpreadsheetML,  
PresentationML,  
WordprocessingML,  
Microsoft Office 2003 XML formats,  
OpenDocument (ODF),  
OpenOffice.org XML,  
ReportML,  
Rich Text Format (RTF),  
Uniform Office Format (UOF),  
