DIN, Title, Status, DIN replacement, Other org replacement, Last version
DIN 103-3, "ISO Metric Trapezoidal Screw Thread; Allowances and Tolerances for Trapezoidal Screw Threads of General Purpose", Active, , , 
DIN 103-4, "ISO Metric Trapezoidal Screw Thread; Nominal Dimensions", Active, , , 
DIN 103-5, "ISO Metric Trapezoidal Screw Threads; Limiting Sizes for Nut Threads from 8 to 100 mm Nominal Diameter", Active, , , 
DIN 103-6, "ISO Metric Trapezoidal Screw Threads; Limiting Sizes for Nut Threads from 105 to 300 mm Nominal Diameter", Active, , , 
DIN 103-7, "ISO Metric Trapezoidal Screw Threads; Limiting Sizes for Bolt Threads from 8 to 100 mm Nominal Diameter", Active, , , 
DIN 103-8, "ISO Metric Trapezoidal Screw Threads; Limiting Sizes for Bolt Threads from 105 to 300 mm Nominal Diameter", Active, , , 
DIN 103-9, "ISO metric trapezoidal screw threads; gauging of external and internal threads; gauge dimensions and design features", Active, , , 
DIN V 105-1, "Clay masonry units - Part 1: Solid and hollow bricks with density classes of 1,2", Withdrawn, DIN V 105-100; DIN EN 771-1, EN 771-1, 
DIN V 105-2, "Clay masonry units - Part 2: Solid and hollow bricks with density classes equal 1.0", Withdrawn, DIN V 105-100; DIN EN 771-1, EN 771-1, 
DIN 105-3, "Clay masonry units - Part 3: Tile and high strength-high-strength clinker", Withdrawn, DIN V 105-100; DIN EN 771-1, EN 771-1, 
DIN 105-4, "Clay masonry units - Part 4: Ceramic bricks", Withdrawn, DIN V 105-100; DIN EN 771-1;DIN EN 772-7, EN 771-1; EN 772-7, 
DIN 105-5, "Clay masonry units - Part 5: Lightweight long-hole brick and light long-hole brick panels", Active, , , 
DIN V 105-6, "Clay masonry units - Part 6: High precision units", Active, , , 
DIN V 105-100, "Clay masonry units - Part 100: Clay masonry units with specific properties", Active, , , 
DIN 125, "Washers; medium type, primarily for hexagon bolts", Withdrawn, DIN EN ISO 7089;DIN EN ISO 7090, ISO 7089;ISO 7090, 
DIN 125-1, "Product grade A washers - with a hardness up to 250 HV designed for use with hexagon head bolts and nuts", Withdrawn, DIN EN ISO 7089;DIN EN ISO 7090, ISO 7089;ISO 7090, 
DIN 125-2, "Product grade A washers - with a hardness up to 300 HV designed for use with hexagon head bolts and nuts", Withdrawn, DIN EN ISO 7089;DIN EN ISO 7090, ISO 7089;ISO 7090, 
DIN 126, "Product grade C washers - designed for use with hexagon head bolts and nut", Withdrawn, DIN EN ISO 7091, ISO 7091, 
DIN 127, "Spring lock washers with square ends or tang ends", Withdrawn, , , 
DIN 128, "Curved and wave spring lock washers", Withdrawn, , , 
DIN 137, "Spring washers, curved or wave", Withdrawn, , , 
DIN 174, "Bright Flat Steel; Dimensions, Permissible Variations, Weights", Withdrawn, DIN EN 10278, , 
DIN 175, "Polished round steel; Dimensions, Permissible deviations according to ISO tolerance zone h9", Withdrawn, DIN EN 10278, , 
DIN 201, "Technical drawings; Hatchings; Representation of cutting edges and materials", Withdrawn, DIN ISO 128-50, ISO 128-50, 
DIN 209, "Machine Reamers with Screwed-on Blades", Active, , , 
DIN 267-1, "Fasteners - Part 1: Technical delivery conditions; General requirements", Withdrawn, , ISO 8992, 
DIN 267-2, "Fasteners - Part 2: Technical delivery conditions; Bolts, Screws, Nuts and Similar Threaded and Formed Parts; Types and Dimensional Accuracy", Active, DIN EN ISO 4759-1, ISO 4759-1, 
DIN 267-3, "Fasteners - Part 3: Technical delivery conditions; Property classes for carbon steel and alloy steel bolts and screws; Conversion of property classes", Withdrawn, DIN EN ISO 898-1, ISO 898-1, 
DIN 267-4, "Fasteners - Part 4: Technical delivery conditions; Property classes for nuts (previous classes)", Withdrawn, DIN EN ISO 898-2, ISO 898-2, 
DIN 267-5, "Fasteners - Part 5: Technical delivery conditions; Acceptance inspection; modified version of ISO 3269, 1984 edition", Withdrawn, DIN EN ISO 3269, ISO 3269, 
DIN 267-6, "Fasteners - Part 6: Technical delivery conditions; Designs and accuracy of measurement for product grade F", Active, , , 
DIN 267-7, "Fasteners - Part 9: Technical delivery conditions; Bolts made of unalloyed or low-alloy steels", Withdrawn, DIN EN ISO 898-1, ISO 898-1, 
DIN 267-9, "Fasteners - Part 9: Technical delivery conditions; Components with Electroplated Coatings", Withdrawn, DIN EN ISO 4042, ISO 4042, 
DIN 267-10, "Fasteners - Part 10: Technical delivery conditions; Hot dip galvanized parts", Withdrawn, DIN EN ISO 10684, ISO 10684, 
DIN 267-11, "Fasteners - Part 11: Technical delivery conditions (with additions to ISO 3506); Corrosion-resistant stainless steel fasteners", Withdrawn, , , 
DIN 267-12, "Fasteners - Part 12: Technical delivery conditions; Self-tapping screws", Withdrawn, DIN EN ISO 2702, ISO 2702, 
DIN 267-13, "Fasteners - Part 13: Technical delivery conditions; Components for Bolted Connections Made Mainly from Materials Exhibiting a High Impact Strength at Low Temperature or from Materials with a High Temperature Strength", Active, , , 
DIN 267-15, "Fasteners - Part 15: Technical delivery conditions; Prevailing torque type nuts", Withdrawn, DIN EN ISO 2320;DIN EN ISO 3506-1;DIN EN ISO 3506-2;DIN EN ISO 3506-3, ISO 2320;ISO 3506-1;ISO 3506-2;ISO 3506-3, 
DIN 267-18, "Fasteners - Part 18: Technical delivery conditions; Components made of Non-ferrous Metals", Withdrawn, DIN EN 28839, ISO 8839, 
DIN 267-19, "Fasteners; technical delivery conditions; surface discontinuities on bolts and screws ", Withdrawn, DIN EN ISO 26157-1;DIN EN ISO 26157-3, ISO 6157-1;ISO 6157-3, 
DIN 267-20, "Fasteners - Part 20: Technical delivery conditions; Surface discontinuities on nuts", Withdrawn, DIN EN ISO 6157-2;DIN EN ISO 10484;DIN EN ISO 10485, ISO 6157-2;ISO 10484;ISO 10485, 
DIN 267-21, "Fasteners - Part 21: Technical delivery conditions; Widening test on nuts", Withdrawn, DIN EN ISO 6157-2;DIN EN ISO 10484;DIN EN ISO 10485, ISO 6157-2;ISO 10484;ISO 10485, 
DIN 267-23, "Fasteners - Part 23: Technical delivery conditions; Property classes for nuts with fine thread (ISO classes)", Withdrawn, DIN EN ISO 898-6, ISO 898-6, 
DIN 267-24, "Fasteners - Part 24: Technical delivery conditions; Property classes for nuts (Hardness classes)", Active, , , 
DIN 267-25, "Fasteners - Part 25: Technical delivery conditions; Torsion testing of M1 to M10 bolts and screws", Withdrawn, DIN EN 20898-7, EN 20898-7, 
DIN 267-26, "Fasteners - Part 26: Technical delivery conditions; Conical spring washers for bolt/nut assemblies", Active, , , 
DIN 267-27, "Fasteners - Part 27: Technical specifications; Steel screws, bolts and studs with adhesive coating", Active, , , 
