DIN, Title, Status, DIN replacement, Other org replacement, Last version
DIN 1319-3, "Basic Concepts in Metrology - Part 3: Terminology Relating To the Uncertainty of Measurement and the Assessment of Measuring Instruments and Measuring Equipment", Active, , , 
DIN 1319-4, "Basic Concepts in Metrology - Part 4: Treatment of Uncertainties in the Evaluation of Measurements", Active, , , 
DIN 1320, "Acoustics; Terminology", Active, , , 
DIN 1324-1, "Electromagnetic Field - Part 1. State Quantities", Active, , , 
DIN 1324-2, "Electromagnetic Field - Part 2. Material Quantities", Active, , , 
DIN 1324-3, "Electromagnetic Field - Part 3. Electromagnetic Waves", Active, , , 
DIN 1325-1, "Vocabulary for value management, value analysis and functional analysis - Part 1: Value analysis and functional analysis", Active, , , 
DIN 1325-2, "Value Management, Value Analysis, Functional Analysis Vocabulary - Part 2: Value Management", Active, , , 
DIN 1332, "Acoustics; Symbols", Withdrawn, DIN EN ISO 80000-8, ISO 80000-8, 
DIN 1333, "Presentation of Numerical Data", Active, , , 
DIN 1338, "Writing and Typesetting of Formulae", Active, , , 
DIN 1355-1, "Time; Calendar, Numbering of Weeks, Date of Day, (Clock) Time", Withdrawn, , , 
DIN 1421, "Arrangement and Numbering in Texts; Clauses, Paragraphs, Enumerations", Active, , , 
DIN 1422-1, "Publications in Sciences, Technology, Economy and Administration; Presentation of Manuscripts and Typoscripts", Active, , , 
DIN 1422-2, "Publications in Sciences, Technology, Economy and Administration; Presentation of Clean Copies for Reprographic Use", Active, , , 
DIN 1422-3, "Publications in Sciences, Technology, Economy and Administration; Typographical Presentation", Active, , , 
DIN 1422-4, "Publications in Sciences, Technology, Economy and Administration; Presentation of Scientific and Technical Reports", Active, , , 
DIN 1440, "Medium type washers for pins", Withdrawn, DIN EN 28738, ISO 8738, 
DIN 1443, "Clevis pins without head", Withdrawn, DIN EN 22340, ISO 2340, 
DIN 1444, "Clevis pins with head", Withdrawn, DIN EN 22341, ISO 2341, 
DIN 1450, "Legibility of Typefaces - General", Active, , , 
DIN 1451-1, "Lettering - Linear-Antiqua without serifes - General", Active, , , 
DIN 1451-2, "Typefaces - lineal Linear-Antiqua; lettering for transportation", Active, , , 
DIN 1451-3, "Lettering - Linear-Antiqua without serifes; lettering for printing", Active, , , 
DIN 1451-4, "Typefaces - lineal Linear-Antiqua; stenciled lettering for engraving and other processes", Active, , , 
DIN 1463-1, "Guidelines for the Establishment and Development of Thesauri; Monolingual Thesauri", Active, , , 
DIN 1463-2, "Guidelines for the Establishment and Development of Thesauri; Multilingual Thesauri", Active, , , 
DIN 1470, "Grooved Pins, Full Length Parallel-grooved with Pilot", Withdrawn, DIN EN 8739, ISO 8739, 
DIN 1471, "Grooved Pins, Full Length Taper-grooved", Withdrawn, DIN EN 8744, ISO 8744, 
DIN 1472, "Grooved Pins, Half Length Taper-grooved", Withdrawn, DIN EN 8745, ISO 8745, 
DIN 1473, "Grooved Pins, Full Length Parallel-grooved with Chamfer", Withdrawn, DIN EN ISO 8740, ISO 8740, 
DIN 1474, "Grooved Pins, Half Length Reverse-grooved", Withdrawn, DIN EN 8741, ISO 8741, 
DIN 1475, "Grooved Pins, Third Length Centre-grooved", Withdrawn, DIN EN 8742, ISO 8742, 
DIN 1476, "Round Head Grooved Pins", Withdrawn, DIN EN 8746, ISO 8746, 
DIN 1477, "Countersunk Head Grooved Pins", Withdrawn, DIN EN 8747, ISO 8747, 
DIN 1481, "Spring-Type Straight Pins (Roll Pins) - Heavy Type", Withdrawn, DIN EN ISO 8752, ISO 8752, 
DIN 1505-1, "Bibliographic references to documents - Part 1: Full References to Printed and Published Documents", Active, , , 
DIN 1505-2, "Bibliographic references to documents - Part 2: Rules for Citing", Active, , , 
DIN 1505-3, "Bibliographic references to documents - Part 3: Indexes of cited documents (bibliographies)", Active, , , 
DIN 1511, "Pattern Equipment for Foundries; Production and Quality", Withdrawn, DIN EN 12890, EN 12890, 
DIN 1530-1, "Tools for moulding - Part 1: Ejector pins with cylindrical head", Active, , , 
DIN 1530-2, "Tools for moulding - Part 2: Shouldered ejector pins", Active, , , 
DIN 1530-3, "Tools for moulding - Part 3: Ejector pins with conical head", Active, , , 
DIN 1587, "Hexagon domed cap nuts", Active, , , 
DIN 1707, "Soft Solders; Composition, Technical Delivery Condition", Active, DIN EN ISO 9453, ISO 9453, 
DIN 1712 Part 1, "Aluminium and aluminium alloys - Unalloyed aluminium ingots for remelting - Specifications", Withdrawn, DIN EN 576, EN 576, 
DIN 1712 Part 3, "Aluminium; Half-Finished Products", Withdrawn, DIN EN 573-3, EN 573-3, 
DIN 1783, "Strips, Plates and Sheets of Aluminium and Wrought", Withdrawn, DIN EN 485-4, EN 485-4, 
DIN 1786, "Seamless Drawn Copper Tubes for Piping Systems", Withdrawn, DIN EN 1057, EN 1057, 
DIN 1798, "Round Rod of Aluminium (Highest Grade Aluminium)", Withdrawn, DIN EN 754-3, EN 754-3, 
DIN 1804, "Slotted Round Nut for Hook Spanner; ISO Metric Fine Thread", Active, , , 
DIN 1810, "Hook wrenches", Active, , , 
DIN 1816, "Round Nut with Set Pin Holes Inside; ISO Metric Fine Thread", Active, , , 
DIN 1897, "Spiral drill bits, short length", Active, , , 
DIN 1912-1, "Graphical Representation of Welded, Soldered and Brazed Joints", Withdrawn, DIN EN ISO 17659, ISO 17659, 
DIN 1912-2, "Graphical Representation of Welded, Soldered and Brazed Joints", Withdrawn, DIN EN ISO 6947, ISO 6947, 
DIN 1912-4, "Graphical Representation of Welded, Soldered and Brazed Joints; Concepts and Terms for Soldered and Brazed Joints and Seams", Active, , , 
DIN 1912-5, "Symbolic Representation on Drawings of Welded, Soldered and Brazed Joints", Withdrawn, DIN EN 22553, ISO 2553, 
DIN 1960, "Construction contract procedures (VOB) - Part A: General provisions relating to the award of construction contracts", Active, , , 
DIN 1961, "Construction contract procedures (VOB) - Part B: General conditions of contract relating to the execution of construction work", Active, , , 
DIN 2112, "Alphanumeric office machines - Alphanumeric keyboards, keyboard arrangement for manually operated typewriters", Withdrawn, DIN 2137-1; DIN 2137-2, , 
DIN 2127, "Alphanumeric office machines; alphanumeric keyboards, keyboard arrangement for electro-mechanical operated typewriters", Withdrawn, DIN 2137-1; DIN 2137-2, , 
DIN 2137-1, "Keyboards for data and text input - Part 1: German keyboard layout", Active, , , 
DIN 2137-2, "Keyboards for data and text input - Part 2: Additional requirements", Active, , , 
DIN 2181, "Sets of 2 taps for metric fine ISO-threads M1 × 0,2 to M52 × 4", Active, , , 
DIN 2342-1, "Vocabulary of terminology; basic concepts", Active, , , 
DIN 2391-1, "Seamless precision steel tubes - Part 1: Dimensions", Canceled, DIN EN 10305-1, EN 10305-1, 
DIN 2391-2, "Seamless precision steel tubes - Part 2: Technical delivery conditions", Canceled, DIN EN 10305-1, EN 10305-1, 
DIN 2448, "Seamless Steel Pipes and Tubes - Dimensions, Conventional Masses per Unit Length", Canceled, DIN EN 10220, EN 10220, 
DIN 2527, "Blank flanges - Nominal pressure 6 to 100", Withdrawn, DIN EN 1092-1, EN 1092-1, 
DIN 2860, "Capillary Fittings; Bends 180° of Copper", Withdrawn, , , 
DIN 2982, "Steel threaded pipe fittings", Withdrawn, DIN EN 10241, EN 10241, 
DIN 2999-1, "Pipe threads for tubes and fittings; parallel internal thread and taper external thread; tread dimensions", Withdrawn, DIN EN 10226-1, EN 10226-1, 
DIN 2999-2, "Whitworth Pipe Threads for Tubes and Fittings; Cylindrical Internal Thread and Conical External Thread, Gauging System and Use of Gauges", Withdrawn, DIN EN 10226-3, EN 10226-3, 
DIN 2999-3, "Whitworth Pipe Threads for Tubes and Fittings; Gauge Dimensions", Withdrawn, DIN EN 10226-3, EN 10226-3, 
DIN 2999-4, "Pipe threads for tubes and fittings; sizes for taper screw limit plug gauges for parallel internal thread", Withdrawn, DIN EN 10226-3, EN 10226-3, 
DIN 2999-5, "Whitworth Pipe Threads for Tubes and Fittings; Cylindrical Screw Limit Ring Gauges for Gauging Conical External Threads, Sizes", Withdrawn, DIN EN 10226-3, EN 10226-3, 
DIN 2999-6, "Whitworth Pipe Threads for Tubes and Fittings; Conical Screw Check Plugs, Sizes", Withdrawn, DIN EN 10226-3, EN 10226-3, 
DIN 3000, "", , , , 
DIN 3017-1, "Hose clamps with worm gear drive; shape A", , , , 
DIN 3017-2, "Hose clamps - Part 2: Clamps with fastening lugs", , , , 
DIN 3017-3, "Hose clamps - Part 3: Bolt clamps", , , , 
DIN 3017-4, "Hose clamps - Part 4: Technical delivery conditions", , , , 
DIN 3017-5, "Hose clamps - Part 5: Wide strip hose clamps with fastening lugs; Types D and E", , , , 
DIN 3113, "Combination Wrench", , , , 
DIN 3770, "Sealing rings ('O-rings') with special accuracy, made of elastomeric materials", Withdrawn, , , 
DIN 3771-3, "Fluid systems; O-rings; materials, field of application", Active, , , 
DIN 4048-1, "Water engineering, terms - Part 1: Dam plants", Active, , , 
DIN 4048-2, "Water engineering, terms - Part 2: Waterpower plants", Active, , , 
DIN 4054, "Correction of waterways, terms", Active, , , 
DIN 4094-1, "Subsoil, Field investigations - Part 1: Cone penetration tests", Active, , , 
DIN 4102-1, "Fire behaviour of building materials and elements - Part 1: Classification of building materials - Requirements and testing", Active, , , 
DIN 4102-2, "Fire Behaviour of Building Materials and Building Components - Part 2: Building Components; Definitions, Requirements and Tests", Active, , , 
DIN 4102-3, "Fire Behaviour of Building Materials and Building Components - Part 3: Fire Walls and Non-load-bearing External Walls; Definitions, Requirements and Tests", Active, , , 
DIN 4102-4, "Fire behaviour of building materials and elements - Part 4: Overview and design of classified building materials, elements and components", Active, , , 
DIN 4102-5, "Fire Behaviour of Building Materials and Building Components - Part 5: Fire Barriers, Barriers in Lift Wells and Glazings Resistant against Fire; Definitions, Requirements and Tests", Active, , , 
DIN 4102-6, "Fire Behaviour of Building Materials and Building Components - Part 6: Ventilation Ducts; Definitions, Requirements and Tests", Active, , , 
DIN 4102-7, "Fire behaviour of building materials and elements - Part 7: Roofing - Concepts, requirements and testing", Active, , , 
DIN 4102-8, "Fire behaviour of building materials and components - Part 8: Small-scale test furnace", Active, , , 
DIN 4102-9, "Fire behaviour of building materials and elements - Part 9: seals for cable penetrations; concepts, requirements and testing", Active, , , 
DIN 4102-11, "Fire behaviour of building materials and building components - Part 10: pipe encasements, pipe bushings, service shafts and ducts, and barriers across inspection openings; terminology, requirements and testing", Active, , , 
DIN 4102-12, "Fire behaviour of building materials and elements - Part 12: Fire resistance of electric cable systems required to maintain circuit integrity - Requirements and testing", Active, , , 
DIN 4102-13, "Fire behaviour of building materials and elements - Part 13: Fire resistant glazing; concepts, requirements and testing", Active, , , 
DIN 4102-14, "Fire behaviour of building materials and elements - Part 14: Determination of the burning behaviour of floor covering systems using a radiant heat source", Active, , , 
DIN 4102-15, "Fire behaviour of building materials and elements - Part 15: 'Brandschacht'", Active, , , 
DIN 4102-16, "Fire behaviour of building materials and elements - Part 16: 'Brandschacht' tests", Active, , , 
DIN 4102-17, "Fire behaviour of building materials and elements - Part 17: determination of melting point of mineral fibre insulating materials; concepts, requirements and testing", Active, , , 
DIN 4102-18, "Fire behaviour of building materials and components - Part 18: fire barriers, verification of automatic closure (continuous performance test)", Active, , , 
DIN 4102-22, "Fire behaviour of building materials and building components - Part 22: Application standard for DIN 4102-4 based on the design of partial safety factors", Active, , , 
DIN 4108-1, "Thermal protection and energy economy in buildings - Part 1: Quantities and units", Active, , , 
DIN 4108-2, "Thermal protection and energy economy in buildings - Part 2: Minimum requirements to thermal insulation", Active, , , 
DIN 4108-3, "Thermal protection and energy economy in buildings - Part 3: Protection against moisture subject to climate conditions; Requirements and directions for design and construction", Active, , , 
DIN 4108-7, "Thermal insulation and energy economy of buildings - Part 7: Airtightness of building, requirements, recommendations and examples for planning and performance", Active, , , 
DIN 4108-10, "Thermal insulation and energy economy in buildings - Part 10: Application-related requirements for thermal insulation materials - Factory made products", Active, , , 
DIN 4150-1, "Structural vibration - Part 1: Prediction of vibration parameters", Active, , , 
DIN 4150-2, "Structural vibration - Part 2: Human exposure to vibration in buildings", Active, , , 
DIN 4150-3, "Structural vibration - Part 3: Effects of vibration on structures", Active, , , 
DIN 4420-1, "Service and working scaffolds - Part 1: Service scaffolds - Performance requirements, general design, structural design", Active, , , 
DIN 4512, "Photographic sensitometry, determination of optical density: 'Photographische Sensitometrie, Bestimmung der optischen Dichte' (1934-01, 1957-11, 1961-10)", Withdrawn, DIN 4512-1:1971-04; DIN 4512-3:1973-01; DIN 4512-4:1977-06; DIN 4512-5:1977-10; DIN 4512-6:1980-07, , 
DIN 4512-1, "Photographic sensitometry, determination of the speed of black and white negative materials for pictorial photography (1971-04, 1993-05)", Withdrawn (2000-09), DIN ISO 6:1996-02, ISO 6, 
DIN 4512-3, "Photographic sensitometry, determination of diffuse transmission density (1973-01)", Withdrawn, DIN 4512-7:1993-01; DIN 4512-8:1993-01; DIN 4512-9:1993-01, , 
DIN 4512-4, "Photographic sensitometry; determination of the speed of colour reversal films (1977-06, 1985-08)", Withdrawn (2002-06), DIN ISO 2240:1998-06, ISO 2240, 
DIN 4512-5, "Photographic sensitometry; determination of the speed of colour negative films (1977-10, 1990-11)", Withdrawn (2002-06), DIN ISO 5800:1998-06, ISO 5800, 
DIN 4512-6, "Photographic sensitometry; sensitometric illuminants and light sources (1980-07)", Withdrawn, , , 
DIN 4512-7, "Photographic sensitometry, determination of optical density; concepts, symbols and notations (1993-01)", Active, , , 
DIN 4512-8, "Photographic sensitometry, determination of optical density; geometric conditions for transmission density (1993-01)", Active, , , 
DIN 4512-9, "Photographic sensitometry, determination of optical density; spectral conditions (1993-01)", Active, , , 
DIN 4512-10, "Photographic sensitometry, determination of optical density; geometric conditions for reflection density (1993-01)", Active, , , 
DIN V 4701-10, "Energy efficiency of heating and ventilation systems in buildings - Part 10: Heating, domestic hot water supply, ventilation", Active, , , 
DIN V 4701-12, "Energetic evaluation of heating and ventilation systems in existing buildings - Part 12: Heat generation and domestic hot water generation", Active, , , 
DIN 4710, "Statistics on German meteorological data for calculating the energy requirements for heating and air conditioning equipment", Active, , , 
DIN 5008, "Rules for text presentation", Active, , , 
DIN 5031-1, "Physics of radiation in the field of optics and illuminating engineering - Part 1: Quantities, symbols and units of radiation physics", Active, , , 
DIN 5031-2, "Physics of radiation in the field of optics and illuminating engineering - Part 2: Evaluation of radiation by different detectors", Active, , , 
DIN 5031-3, "Physics of radiation in the field of optics and illuminating engineering - Part 3: Quantities, symbols and units of illuminating engineering", Active, , , 
DIN 5031-4, "Physics of radiation in the field of optics and illuminating engineering - Part 4: Efficiencies", Active, , , 
DIN 5031-5, "Physics of radiation in the field of optics and illuminating engineering - Part 5: Definitions for temperatures", Active, , , 
DIN 5031-6, "Physics of radiation in the field of optics and illuminating engineering - Part 6: Pupil intensity as a measure of retinal illumination", Active, , , 
DIN 5031-7, "Physics of radiation in the field of optics and illuminating engineering - Part 7: Terms for wavebands", Active, , , 
DIN 5031-8, "Physics of radiation in the field of optics and illuminating engineering - Part 8: Definitions and constants of radiation physics", Active, , , 
DIN 5031-9, "Physics of radiation in the field of optics and illuminating engineering - Part 9: Definitions in the field of luminescence", Active, , , 
DIN 5031-10, "Physics of radiation in the field of optics and illuminating engineering - Part 10: Photobiologically effective radiation, quantities, symbols and actions", Active, , , 
DIN 5035-3, "Artificial lighting - Part 3: Lighting of health care premises", Active, , , 
DIN 5035-6, "Artificial lighting - Part 6: Measurement and evaluation", Active, , , 
DIN 5035-7, "Artificial lighting - Part 7: Lighting of interiors with visual displays work stations", Active, , , 
DIN 5035-8, "Artificial lighting - Part 8: Workplace luminaries - Requirements, recommendations and proofing", Active, , , 
DIN 5117, "Clamp strength for woodworking", Active, , , 
DIN 5145, "Plane irons for wood smooth and for planes", Active, , , 
DIN 5146, "Curved irons for jack planes", Active, , , 
DIN 5406, "Lockwashers and locking plates for use with rolling bearings", Active, , , 
DIN 5466-1, "Splined joints, calculation of load capacity - Part 1: general basis", Active, , , 
DIN 5473, "Logic and set theory; symbols and concepts", Active, , , 
DIN 5474, "Signs in mathematical logic", Withdrawn, DIN 5473, , 
DIN 5475-1, "Complex quantities; nomenclature", Withdrawn, DIN 5483-3, , 
DIN 5480-1, "Involute splines based on reference diameters - Part 1: Generalities", Active, , , 
DIN 5480-2, "Involute splines based on reference diameters - Part 2: Nominal and inspection dimensions", Active, , , 
DIN 5480-15, "Involute splines based on reference diameters - Part 15: Inspection", Active, , , 
DIN 5483-1, "Time-dependent quantities - Part 1: Terms for the time-dependency", Active, , , 
DIN 5483-2, "Time-dependent quantities - Part 2: Letter symbols", Active, , , 
DIN 5483-3, "Time-dependent quantities - Part 3: Complex representation of sinusoidal time-dependent quantities", Active, , , 
DIN 5486, "Notation of matrices", Withdrawn, DIN 1303, , 
DIN 5487, "Fourier-, Laplace- and Z-transformation; symbols and concepts", Active, , , 
DIN 5489, "Directions and signs in electrical engineering; rules for electric and magnetic circuits, equivalent circuit diagrams", Withdrawn, DIN EN 60375, EN 60375, 
DIN 5493-2, "Logarithmic quantities and units - Part 2: Logarithmic ratios, levels in nepers and decibels", Active, , , 
DIN 5510-2, "Fire test to railway components", Active, , , 
DIN 5590, "Compressed air equipment for rail vehicles - Pressure vessels made of steel - Dimensions, designation", Active, , , 
DIN 6303, "Knurled nuts", Active, , , 
DIN 6304, "Tommy screws with fixed clamping bolt", Active, , , 
DIN 6305, "Tommy nuts with fixed clamping bolt", Active, , , 
DIN 6306, "Tommy screws with movable clamping bolt", Active, , , 
DIN 6307, "Tommy nuts with movable clamping bolt", Active, , , 
DIN 6310, "Spring-loaded catch for jigs", Active, , , 
DIN 6311, "Thrust pads", Active, , , 
DIN 6314, "Clamp, straight", Active, , , 
DIN 6315, "Clamp, forked", Active, , , 
DIN 6316, "Goose neck clamp", Active, , , 
DIN 6318, "Stepped packing blocks as support for clamps", Active, , , 
DIN 6319, "Spherical washers and conical seats", Active, , , 
DIN 6320, "Feet with threaded shank for jigs and fixtures", Active, , , 
DIN 6321, "Support and location pins", Active, , , 
DIN 6323, "Slot stones, loose", Active, , , 
DIN 6325, "Parallel Pins, Hardened; Tolerance Zone m6", Withdrawn, DIN EN ISO 8734, ISO 8734, 
DIN 6340, "Washers for clamping devices", Active, , , 
DIN 6738, "Paper and paper board - Lifespan classes", Active, , , 
DIN 6776, "Technical drawings, labeling", Withdrawn, DIN EN ISO 3098, ISO 3098, 
DIN 6796, "Conical spring washers for bolted connections", Active, , , 
DIN 6797, "Toothed lock washers", Withdrawn, , , 
DIN 6798, "Serrated lock washers", Withdrawn, , , 
DIN 6799, "Lock washers (retaining washers) for shafts", Active, , , 
DIN 6880, "Bright Key Steel; Dimensions, Permissible Variations, Weights", Active, , , 
DIN 6885-1, "Drive Type Fastenings without Taper Action - Part 1: Parallel Keys, Keyways, Deep Pattern", Active, , , 
DIN 6885-2, "Drive Type Fastenings without Taper Action - Part 2: Parallel Keys, Keyways, Deep Pattern for Machine Tools, Dimensions and Application", Active, , , 
DIN 6885-3, "Drive Type Fastenings without Taper Action - Part 3: Parallel Keys, Shallow Pattern, Dimensions and Application", Active, , , 
DIN 6900, "Screw and Washer Assemblies", Withdrawn, DIN EN 10644, EN 10644, 
DIN 6901, "Tapping screw and washer assemblies", Withdrawn, DIN EN 10510, EN 10510, 
DIN 6902, "Plain washers for screw and washer assemblies", Withdrawn, DIN EN 10673, EN 10673, 
DIN 6903, "Plain washers for tapping screw and washer assemblies", Withdrawn, DIN EN 10669, EN 10669, 
DIN 6912, "Hexagon socket head cap screws with center, with low head", Active, , , 
DIN 6914, "High-strength hexagon head bolts with large widths across flats for structural steel bolting", Withdrawn, DIN EN 14399-4, EN 14399-4, 
DIN 6915, "Steel hexagon nuts with large widths across flats for high-strength structural bolting", Withdrawn, DIN EN 14399-4, EN 14399-4, 
DIN 6916, "Round washers for high-strength structural steel bolting", Withdrawn, DIN EN 14399-6, EN 14399-6, 
DIN 6921, "Hexagon flange bolts", Withdrawn, DIN EN 1665, EN 1665, 
DIN 6922, "Hexagon flange bolts with reduced shank", Withdrawn, DIN EN 1665, EN 1665, 
DIN 6923, "Hexagon nuts with flange", Withdrawn, DIN EN 1661, EN 1661, 
DIN 6924, "Prevailing torque type hexagon nuts with nonmetallic insert", Withdrawn, DIN EN ISO 7040;DIN EN ISO 10512, ISO 7040;ISO 10512, 
DIN 6925, "Prevailing torque type all-metal hexagon nuts", Withdrawn, DIN EN ISO 7042;DIN EN ISO 10513, ISO 7042;ISO 10513, 
DIN 6926, "Prevailing torque type hexagon nuts with flange and with non-metallic insert", Withdrawn, DIN EN 1663; DIN EN 1666, ISO 7043 (modified); ISO 12125 (modified), 
DIN 6927, "Prevailing torque type all-metal nuts with flange", Withdrawn, DIN EN 1664; DIN EN 1667, ISO 7044 (modified);ISO 12126 (modified), 
DIN 6935, "Cold bending of flat rolled steel", Active, , , 
DIN 7045, "Pan head screws with type H or type Z cross recess - product grade A", Active, , , 
DIN 7245, "Saw blades for web saws", Active, , , 
DIN 7337, "Break mandrel blind rivets", Withdrawn, DIN EN ISO 14589; DIN EN ISO 15977; DIN EN ISO 15978; DIN EN ISO 15979; DIN EN ISO 15980; DIN EN ISO 15981; DIN EN ISO 15982; DIN EN ISO 15983; DIN EN ISO 15984; DIN EN ISO 16582; DIN EN ISO 16583; DIN EN ISO 16584, ISO 14589; ISO 15977; ISO 15978; ISO 15979; ISO 15980; ISO 15981; ISO 15982; ISO 15983; ISO 15984; ISO 16582; ISO 16583; ISO 16584, 
DIN 7343, "Spiral Pins; Normal Type", Withdrawn, DIN EN ISO 8750, ISO 8750, 
DIN 7344, "Spiral Pins; Heavy Duty Type", Withdrawn, DIN EN ISO 8748, ISO 8748, 
DIN 7346, "Spring-Type Straight Pins; (Roll Pins) Light-weight Type", Withdrawn, DIN EN ISO 13337, ISO 13337, 
DIN 7349, "Plain Washers for Bolts with Heavy Clamping Sleeves", Active, , , 
DIN 7500-1, "Thread rolling screws for metric ISO thread - Part 1: Types, designation, requirements", Active, , , 
DIN 7500-2, "Thread rolling screws for ISO metric thread; guideline values for hole diameters", Active, , , 
DIN 7504, "Self-drilling screws with tapping screw thread - Dimensions, requirements and testing", Withdrawn, ISO 10666; ISO 15480; ISO 15481; ISO 15482; ISO 15483, , 
DIN 7513, "Hexagon head and slotted head thread cutting screws - Dimensions, requirements and testing", Active, , , 
DIN 7516, "Cross recessed head thread cutting screws - Dimensions, requirements and testing", Active, , , 
DIN 7603, "Ring seals and gaskets", Active, , , 
DIN 7875, "Diving accessories for skin divers; terminology", Withdrawn, , , 
DIN 7876, "Diving accessories for skin divers; flippers; dimensions, requirements and testing", Withdrawn, , , 
DIN 7877, "Diving accessories for skin divers; diver's masks; requirements and testing", Withdrawn, , , 
DIN 7878, "Diving accessories for skin divers; snorkel; technical requirements of safety, testing", Withdrawn, , , 
DIN 7962, "Cross recesses for screws; (modified version of ISO 4757)", Withdrawn, DIN EN ISO 4757, ISO 4757, 
DIN 7970, "Threads and thread ends for tapping screws (modified version of ISO 1478)", Withdrawn, DIN EN ISO 1478, ISO 1478, 
DIN 7971, "Slotted pan head tapping screws", Withdrawn, DIN ISO 1481, ISO 1481, 
DIN 7972, "Slotted countersunk head tapping screws", Withdrawn, DIN ISO 1482, ISO 1482, 
DIN 7973, "Slotted raised countersunk head tapping screws", Withdrawn, DIN ISO 1483, ISO 1483, 
DIN 7977, "Taper Pins with Thread Ends and Constant Point Lengths", Withdrawn, DIN EN 28737, ISO 8737, 
DIN 7978, "Taper Pins with Internal Thread", Withdrawn, DIN EN 28737, ISO 8736, 
DIN 7979, "Parallel Pins with Internal Thread", Withdrawn, DIN EN ISO 8733;DIN EN ISO 8735, ISO 8733;ISO 8735, 
DIN 7980, "Spring lock washers with square ends for cheese head screws", Withdrawn, , , 
DIN 7981, "Cross recessed pan head tapping screws", Withdrawn, DIN ISO 7049, ISO 7049, 
DIN 7982, "Cross recessed countersunk head tapping screws", Withdrawn, DIN ISO 7050, ISO 7050, 
DIN 7983, "Countersunk (Flat) Head Tapping Screws with Cross Recess", Withdrawn, DIN ISO 7051, ISO 7051, 
DIN 7984, "Hexagon socket head cap screws with low head", Active, , , 
DIN 7985, "Cross recessed raised Phillips Pan head screws", Withdrawn, DIN EN ISO 7045, ISO 7045, 
DIN 7989-1, "Washers for steel structures - Product grade C", Active, , , 
DIN 7989-2, "Washers for steel structures - Product grade A", Active, , , 
DIN 7991, "Hexagon socket countersunk head cap screws", Withdrawn, DIN EN ISO 10642, ISO 10642, 
DIN 8074, "Polyethylene (PE) pipes - Dimensions", Active, , , 
DIN 8075, "Polyethylene (PE) pipes - PE 63, PE 80, PE 100, PE-HD - General quality requirements, testing", Active, , , 
DIN 8077/8078, "Polypropylene (PP-R) Pipes -PN 20, PN25 PP-R - General quality requirements, testing", Active, , , 
DIN 8513-1, "Brazing and Braze Weld Filler Metals; Copper Base Brazing Alloys; Composition, Use, Technical Conditions of Delivery", Withdrawn, DIN EN 1044, EN 1044, 
DIN 8513-2, "Brazing and Braze Weld Filler Metals; Silver-bearing Brazing Alloys with less than 20% by wt. Silver; Composition, Use, Technical Conditions of Delivery", Withdrawn, DIN EN 1044, EN 1044, 
DIN 8513-3, "Brazing filler metals; silver brazing filler metals containing not less than 20% of silver; composition, application, technical delivery conditions", Withdrawn, DIN EN 1044, EN 1044, 
DIN 8513-4, "Brazing and Braze Weld Filler Metals; Aluminium-Base Brazing Alloys; Composition, Use, Technical Conditions of Delivery", Withdrawn, DIN EN 1044, EN 1044, 
DIN 8513-5, "Brazing filler metals; Nickel base filler metals for high temperature brazing; Application, composition, technical delivery conditions", Withdrawn, DIN EN 1044, EN 1044, 
DIN 8580, "Manufacturing processes - Terms and definitions, division", Active, , , 
DIN 8806-1, "Narrow band saw blades for woodworking; dimensions", Active, , , 
DIN 8515, "Defects in Metallic Solder Joints; Brazing Joints and High-temperature Solder Joints; Classification, Designations, Explanatory Notes", Withdrawn, DIN EN ISO 18279:2004-04, , 
DIN 9021, "Plain washers with large outside diameter", Withdrawn, DIN EN ISO 7093-1; DIN EN ISO 7093-2, ISO 7093-1; ISO 7093-2, 
DIN 10504, "Food hygiene - Lamps for the lighting of meat and meat products", Withdrawn, , , 
DIN 11024, "Beta cotter pin (R-pin) - Dimensions, materials", Active, , , 
DIN 11850, "Tubes for the food, chemical and pharmaceutical industry - Stainless steel tubes - Dimensions, materials", Withdrawn, , EN 10357, 
DIN 11851, "Hygienic Unions", , , , 
DIN 12950-1, "Laboratory furniture; safety cabinets for microbiological and biotechnological work; safety requirements, tests", Withdrawn, , , 
DIN 12950-2, "Laboratory furniture; safety cabinets for microbiological and biotechnological work; containment of class 1 and class 2 cabinets, microbiological test", Withdrawn, , , 
DIN 12950-10, "Laboratory furniture; safety cabinets for microbiological and biotechnological work; requirements and testing", Withdrawn, , , 
DIN 12975-1, "Thermal solar systems and components - Solar collectors - Part 1: General requirements", , , , 
DIN 12975-2, "Thermal solar systems and components - Solar collectors - Part 2: Test methods", , , , 
DIN 12976-1, "Thermal solar systems and components - Factory made systems - Part 1: General requirements", , , , 
DIN 12976-2, "Thermal solar systems and components - Factory made systems - Part 2: Test methods", , , , 
DIN 13080, "Division of hospitals into functional areas and functional sections", Active, , , 
DIN 13260-2, "Supply systems for medical gases - Part 2: Dimensions and allocation of probes and gas-specific connection points for terminal units for compressed medical gases and vacuum", Active, , , 
DIN 13432, "Packaging - Requirements for packaging recoverable through composting and biodegradation - Test scheme and evaluation criteria for the final acceptance of packaging", Active, DIN EN 13432, , 
DIN 13715, "Workpiece corners and edges", Active, DIN ISO 13715(2000-12), , 2020-01
DIN 13757-2, "Communication systems for meters, wired M-Bus (meter bus)", Active, DIN EN 13757-2,  Rev 4.8 2010-04-26, 
