County,Capital,Area [km2],Population (2021 Census)
Alytus,Alytus,5425,137747
Kaunas,Kaunas,8089,569571
Klaipėda,Klaipėda,5209,322283
Marijampolė,Marijampolė,4463,138292
Panevėžys,Panevėžys,7881,216233
Šiauliai,Šiauliai,8540,262220
Tauragė,Tauragė,4411,92662
Telšiai,Telšiai,4350,133376
Utena,Utena,7201,127581
Vilnius,Vilnius,9731,810797
