Region,Capital/Center,ISO Code,# Municipalities,Area [km2],Population 2011,Population 2021,Population 2026 (Est.)
Riga,Riga,LV-RIX,1,304,658640,614610,602100
Pierīga,Riga (surroundings),LV-PIE,9,10135,371431,385733,394200
Vidzeme,Valmiera,LV-VID,10,15245,211309,185556,178400
Kurzeme,Kuldīga,LV-KUR,8,13606,270498,237341,228600
Zemgale,Jelgava,LV-ZEM,6,10732,254461,227152,219300
Latgale,Daugavpils,LV-LAT,9,14547,304032,250535,235900
