District, ID, Type, Area [km2]
Hochtaunuskreis, 6434, , 481.84
Main-Kinzig-Kreis, 6435, , 1,397.32
Main-Taunus-Kreis, 6436, , 222.53
Odenwaldkreis, 6437, , 623.97
Offenbach, 6438, Landkreis, 356.24
Rheingau-Taunus-Kreis, 6439, , 811.4
Wetteraukreis, 6440, , 1,100.66
Gießen, 6531, Landkreis, 854.56
Lahn-Dill-Kreis, 6532, , 1,066.30
Limburg-Weilburg, 6533, Landkreis, 738.44
Marburg-Biedenkopf, 6534, Landkreis, 1,262.37
Vogelsbergkreis, 6535, , 1,458.91
Kassel, 6611, kreisfreie Stadt, 106.79
Fulda, 6631, Landkreis, 1,380.41
Hersfeld-Rotenburg, 6632, Landkreis, 1,097.77
Kassel, 6633, Landkreis, 1,293.31
Schwalm-Eder-Kreis, 6634, , 1,539.01
Waldeck-Frankenberg, 6635, Landkreis, 1,848.70
Werra-Meißner-Kreis, 6636, , 1,024.83
Koblenz, 7111, kreisfreie Stadt, 105.25
Ahrweiler, 7131, Landkreis, 787.03
Altenkirchen (Westerwald), 7132, Landkreis, 642.38
Bad Kreuznach, 7133, Landkreis, 863.89
Birkenfeld, 7134, Landkreis, 776.83
Cochem-Zell, 7135, Landkreis, 692.44
Mayen-Koblenz, 7137, Landkreis, 817.72
Neuwied, 7138, Landkreis, 627.06
Rhein-Hunsrück-Kreis, 7140, , 991.06
Rhein-Lahn-Kreis, 7141, , 782.24
Westerwaldkreis, 7143, , 989.04
Trier, 7211, kreisfreie Stadt, 117.06
Bernkastel-Wittlich, 7231, Landkreis, 1,167.93
Eifelkreis Bitburg-Prüm, 7232, , 1,626.95
Vulkaneifel, 7233, Landkreis, 911.64
Trier-Saarburg, 7235, Landkreis, 1,102.24
Frankenthal (Pfalz), 7311, kreisfreie Stadt, 43.88
Kaiserslautern, 7312, kreisfreie Stadt, 139.7
Landau in der Pfalz, 7313, kreisfreie Stadt, 82.94
Ludwigshafen am Rhein, 7314, kreisfreie Stadt, 77.43
Mainz, 7315, kreisfreie Stadt, 97.73
Neustadt an der Weinstraße, 7316, kreisfreie Stadt, 117.09
Pirmasens, 7317, kreisfreie Stadt, 61.35
Speyer, 7318, kreisfreie Stadt, 42.71
Worms, 7319, kreisfreie Stadt, 108.73
Zweibrücken, 7320, kreisfreie Stadt, 70.64
Alzey-Worms, 7331, Landkreis, 588.07
Bad Dürkheim, 7332, Landkreis, 594.64
Donnersbergkreis, 7333, , 645.41
Germersheim, 7334, Landkreis, 463.32
Kaiserslautern, 7335, Landkreis, 640
Kusel, 7336, Landkreis, 573.61
Südliche Weinstraße, 7337, Landkreis, 639.93
Rhein-Pfalz-Kreis, 7338, , 304.99
Mainz-Bingen, 7339, Landkreis, 605.33
Südwestpfalz, 7340, Landkreis, 953.52
Stuttgart, 8111, kreisfreie Stadt, 207.33
Böblingen, 8115, Landkreis, 617.76
Esslingen, 8116, Landkreis, 641.28
Göppingen, 8117, Landkreis, 642.34
Ludwigsburg, 8118, Landkreis, 686.77
Rems-Murr-Kreis, 8119, , 858.08
Heilbronn, 8121, kreisfreie Stadt, 99.89
Heilbronn, 8125, Landkreis, 1,099.91
Hohenlohekreis, 8126, , 776.75
Schwäbisch Hall, 8127, Landkreis, 1,484.08
Main-Tauber-Kreis, 8128, , 1,304.12
Heidenheim, 8135, Landkreis, 627.14
Ostalbkreis, 8136, , 1,511.39
Baden-Baden, 8211, kreisfreie Stadt, 140.19
Karlsruhe, 8212, kreisfreie Stadt, 173.42
Karlsruhe, 8215, Landkreis, 1,084.98
Rastatt, 8216, Landkreis, 738.43
Heidelberg, 8221, kreisfreie Stadt, 108.83
Mannheim, 8222, kreisfreie Stadt, 144.97
Neckar-Odenwald-Kreis, 8225, , 1,125.95
Rhein-Neckar-Kreis, 8226, , 1,061.55
Pforzheim, 8231, kreisfreie Stadt, 97.99
Calw, 8235, Landkreis, 797.29
Enzkreis, 8236, , 573.6
Freudenstadt, 8237, Landkreis, 870.4
Freiburg im Breisgau, 8311, kreisfreie Stadt, 153.04
Breisgau-Hochschwarzwald, 8315, Landkreis, 1,378.32
Emmendingen, 8316, Landkreis, 679.8
Ortenaukreis, 8317, , 1,860.29
Rottweil, 8325, Landkreis, 769.42
Schwarzwald-Baar-Kreis, 8326, , 1,025.34
Tuttlingen, 8327, Landkreis, 734.38
Konstanz, 8335, Landkreis, 817.98
Lörrach, 8336, Landkreis, 806.66
Waldshut, 8337, Landkreis, 1,131.15
Reutlingen, 8415, Landkreis, 1,092.48
Tübingen, 8416, Landkreis, 519.12
Zollernalbkreis, 8417, , 917.58
Ulm, 8421, kreisfreie Stadt, 118.68
Alb-Donau-Kreis, 8425, , 1,358.54
Biberach, 8426, Landkreis, 1,409.52
Bodenseekreis, 8435, , 664.77
Ravensburg, 8436, Landkreis, 1,632.08
Sigmaringen, 8437, Landkreis, 1,204.24
Ingolstadt, 9161, kreisfreie Stadt, 133.35
München, 9162, kreisfreie Stadt, 310.7
Rosenheim, 9163, kreisfreie Stadt, 37.22
Altötting, 9171, Landkreis, 569.28
Berchtesgadener Land, 9172, Landkreis, 839.83
Bad Tölz-Wolfratshausen, 9173, Landkreis, 1,110.67
Dachau, 9174, Landkreis, 579.16
Ebersberg, 9175, Landkreis, 549.39
Eichstätt, 9176, Landkreis, 1,213.85
Erding, 9177, Landkreis, 870.74
Freising, 9178, Landkreis, 799.85
Fürstenfeldbruck, 9179, Landkreis, 434.8
Garmisch-Partenkirchen, 9180, Landkreis, 1,012.17
Landsberg am Lech, 9181, Landkreis, 804.36
Miesbach, 9182, Landkreis, 866.21
Mühldorf am Inn, 9183, Landkreis, 805.33
München, 9184, Landkreis, 664.25
Neuburg-Schrobenhausen, 9185, Landkreis, 739.71
Pfaffenhofen an der Ilm, 9186, Landkreis, 761.05
Rosenheim, 9187, Landkreis, 1,439.44
Starnberg, 9188, Landkreis, 487.71
Traunstein, 9189, Landkreis, 1,533.76
Weilheim-Schongau, 9190, Landkreis, 966.28
Landshut, 9261, kreisfreie Stadt, 65.83
Passau, 9262, kreisfreie Stadt, 69.56
Straubing, 9263, kreisfreie Stadt, 67.59
Deggendorf, 9271, Landkreis, 861.17
Freyung-Grafenau, 9272, Landkreis, 983.85
Kelheim, 9273, Landkreis, 1,065.13
Landshut, 9274, Landkreis, 1,347.55
Passau, 9275, Landkreis, 1,530.10
Regen, 9276, Landkreis, 974.78
Rottal-Inn, 9277, Landkreis, 1,281.20
Straubing-Bogen, 9278, Landkreis, 1,201.62
Dingolfing-Landau, 9279, Landkreis, 877.58
Amberg, 9361, kreisfreie Stadt, 50.14
Regensburg, 9362, kreisfreie Stadt, 80.86
Weiden in der Oberpfalz, 9363, kreisfreie Stadt, 70.57
Amberg-Sulzbach, 9371, Landkreis, 1,255.85
Cham, 9372, Landkreis, 1,526.83
Neumarkt in der Oberpfalz, 9373, Landkreis, 1,343.96
Neustadt an der Waldnaab, 9374, Landkreis, 1,425.81
Regensburg, 9375, Landkreis, 1,391.65
Schwandorf, 9376, Landkreis, 1,458.34
Tirschenreuth, 9377, Landkreis, 1,084.25
Bamberg, 9461, kreisfreie Stadt, 54.62
Bayreuth, 9462, kreisfreie Stadt, 66.89
Coburg, 9463, kreisfreie Stadt, 48.29
Hof, 9464, kreisfreie Stadt, 58.02
Bamberg, 9471, Landkreis, 1,167.81
Bayreuth, 9472, Landkreis, 1,275.50
Coburg, 9473, Landkreis, 590.42
Forchheim, 9474, Landkreis, 642.83
Hof, 9475, Landkreis, 892.52
Kronach, 9476, Landkreis, 651.49
Kulmbach, 9477, Landkreis, 658.33
Lichtenfels, 9478, Landkreis, 519.94
Wunsiedel im Fichtelgebirge, 9479, Landkreis, 606.37
Ansbach, 9561, kreisfreie Stadt, 99.91
Erlangen, 9562, kreisfreie Stadt, 76.96
Fürth, 9563, kreisfreie Stadt, 63.35
Nürnberg, 9564, kreisfreie Stadt, 186.44
Schwabach, 9565, kreisfreie Stadt, 40.8
Ansbach, 9571, Landkreis, 1,971.32
Erlangen-Höchstadt, 9572, Landkreis, 564.55
Fürth, 9573, Landkreis, 307.44
Nürnberger Land, 9574, Landkreis, 799.52
Neustadt an der Aisch-Bad Windsheim, 9575, Landkreis, 1,267.45
Roth, 9576, Landkreis, 895.16
Weißenburg-Gunzenhausen, 9577, Landkreis, 970.78
Aschaffenburg, 9661, kreisfreie Stadt, 62.45
Schweinfurt, 9662, kreisfreie Stadt, 35.7
Würzburg, 9663, kreisfreie Stadt, 87.6
Aschaffenburg, 9671, Landkreis, 698.9
Bad Kissingen, 9672, Landkreis, 1,136.90
Rhön-Grabfeld, 9673, Landkreis, 1,021.68
Haßberge, 9674, Landkreis, 956.19
Kitzingen, 9675, Landkreis, 684.14
Miltenberg, 9676, Landkreis, 715.58
Main-Spessart, 9677, Landkreis, 1,321.20
Schweinfurt, 9678, Landkreis, 841.39
Würzburg, 9679, Landkreis, 968.35
Augsburg, 9761, kreisfreie Stadt, 146.85
Kaufbeuren, 9762, kreisfreie Stadt, 40.02
Kempten (Allgäu), 9763, kreisfreie Stadt, 63.28
Memmingen, 9764, kreisfreie Stadt, 70.11
Aichach-Friedberg, 9771, Landkreis, 780.23
Augsburg, 9772, Landkreis, 1,070.74
Dillingen an der Donau, 9773, Landkreis, 792.23
Günzburg, 9774, Landkreis, 762.4
Neu-Ulm, 9775, Landkreis, 515.84
Lindau (Bodensee), 9776, Landkreis, 323.39
Ostallgäu, 9777, Landkreis, 1,394.44
Unterallgäu, 9778, Landkreis, 1,229.57
Donau-Ries, 9779, Landkreis, 1,274.57
Oberallgäu, 9780, Landkreis, 1,527.97
Regionalverband Saarbrücken, 10041, Landkreis, 410.95
Merzig-Wadern, 10042, Landkreis, 557.11
Neunkirchen, 10043, Landkreis, 249.8
Saarlouis, 10044, Landkreis, 459.36
Saarpfalz-Kreis, 10045, , 418.28
Sankt Wendel, 10046, Landkreis, 476.51
Berlin, 11000, kreisfreie Stadt, 891.12
Brandenburg an der Havel, 12051, kreisfreie Stadt, 229.73
