Line, From, To, Length [km], # Stops, Stops, Color, Ride time [min], Opened
11, Majorstuen, Kjelsås, , 27, Majorstuen - Bogstadveien - Rosenborg - Briskeby - Riddervolds plass - Inkognitogata - Nationaltheatret - Øvre Slottsgate - Dronningens gate - Jernbanetorget - Storgata - Nybrua - Schous plass - Olaf Ryes plass - Birkelunden - Biermanns gate - Torshov - Sandaker senter - Grefsenveien - Storo - Disen - Doktor Smiths vei - Glads vei - Grefsenplatået - Grefsen stadion - Kjelsåsalleen - Kjelsås, orange, , 
12, Majorstuen, Kjelsås, , 31, Majorstuen - Frogner stadion - Vigelandsparken - Frogner plass - Elisenberg - Lille Frogner allé - Niels Juels gate - Solli - Ruseløkka - Akerbrygge - Kontraskjæret - Øvre Slottsgate - Dronningens gate -  Jernbanetorget - Storgata - Nybrua - Schous plass - Olaf Ryes plass - Birkelunden - Biermanns gate - Torshov - Sandaker senter - Grefsenveien - Storo -  Disen - Doktor Smiths vei - Glads vei - Grefsenplatået - Grefsen stadion - Kjelsåsalleen - Kjelsås, lila, , 
13, Lilleaker, Ljabru, , 27, Lilleaker - Sollerud - Furuland - Ullern - Abbediengen - Hoff - Skøyen - Thune - Nobels gate - Skarpsno - Skillebekk - Solli - Nationaltheatret - Øvre Slottsgate - Dronningens gate - Bjørvika - Middelalderparken - Oslo Hospital - Ekebergparken - Jomfrubråten - Sportsplassen - Holtet - Sørli - Kastellet - Bråten - Sæter - Ljabru, blue, , 
17, Rikshospitalet, Grefsen stasjon, , 27, Rikshospitalet - Gaustadalleen - Forskningsparken - Universitetet Blindern - John Collets plass - Ullevål sykehus - Adamstuen - Stensgata - Bislett - Dalsbergstien - Welhavens gate - Frydenlund - Holbergs plass - Tullinøkka - Tinghuset - Stortorvet - Jernbanetorget - Storgata - Nybrua - Heimdalsgata - Lakkegata skole - Sofienberg - Carl Berners plass - Rosenhoff - Sinsenterrassen - Sinsenkrysset - Grefsen stasjon, red, , 
18, Rikshospitalet, Grefsen stasjon, , 28, Rikshospitalet - Gaustadalleen - Forskningsparken - Universitetet Blindern - John Collets plass - Ullevål sykehus - Adamstuen - Stensgata - Bislett - Dalsbergstien - Welhavens gate - Frydenlund - Holbergs plass - Tullinøkka - Tinghuset - Stortorvet - Jernbanetorget - Storgata - Nybrua - Schous plass - Olaf Ryes plass - Birkelunden - Biermanns gate - Torshov - Sandaker senter - Grefsenveien - Storo - Grefsen stasjon, yellow, , 
19, Majorstuen, Ljabru, , 22, Majorstuen - Bogstadveien - Homansbyen - Welhavens gate - Frydenlund - Holbergs plass - Tullinøkka - Tinghuset - Stortorvet - Jernbanetorget - Bjørvika - Middelalderparken - Oslo Hospital - Ekebergparken - Jomfrubråten - Sportsplassen - Holtet - Sørli - Kastellet - Bråten - Sæter - Ljabru, green, , 
