Region,Capital,ISO3166-2,Area [km2],# Provinces,# Municipalities,Population_2007,Population_2013,Population_2023
Region Hovedstaden,Hillerød,DK-84,2561.27,29,29,1636749,1745644,1891871
Region Sjælland,Sorø,DK-85,7273.21,17,17,816118,819427,849857
Region Syddanmark,Vejle,DK-83,12206.17,22,22,1189817,1201275,1237413
Region Midtjylland,Viborg,DK-82,13000.20,19,19,1227428,1265578,1358879
Region Nordjylland,Aalborg,DK-81,7874.00,11,11,576972,579628,594634
