ICS, Parent ICS, Title, Scope, 
03.080.01, 3.08, Services in general, , 
03.080.10, 3.08, Maintenance services. Facilities management, Including cleaning and pest control, 
03.080.20, 3.08, Services for companies, Including publicityand  advertisingand  professional servicesand  recruitment servicesand  management consultancyand  outsourcingand  etc., 
03.080.30, 3.08, Services for consumers, Including hotelsand  restaurantsand  washingand  cleaningand  removalsand  funeralsand  real estateand  vehicle repair and servicingand  furniture removalsand  services for elderlyand  sheltered housing services for elderlyand  sheltered housingand  etc., 
03.080.99, 3.08, Other services, , 
03.100.01, 3.1, Company organization and management in general, Including legal aspects and risk managementand  societal securityand  outsourcing, 
03.100.02, 3.1, Governance and ethics, Including anti-briberyand  anti-procurement fraudand  corporate social responsibility, 
03.100.10, 3.1, Purchasing. Procurement. Logistics, Including asset managementand  supply chainand  etc., 
03.100.20, 3.1, Trade. Commercial function. Marketing, , 
03.100.30, 3.1, Management of human resources, Including staff trainingand  staff responsibilitiesand  staff qualifications and certification, 
03.100.40, 3.1, Research and development, Including project managementand  value analysisand  etc., 
03.100.50, 3.1, Production. Production management, , 
03.100.60, 3.1, Accountancy, , 
03.100.70, 3.1, Management systems, Including environmental management systems (EMS)and  road traffic management systemsand  energy management systemsand  health care management systemsand  etc., 
03.100.99, 3.1, Other standards related to company organization and management, , 
03.120.01, 3.12, Quality in general, Including general aspects related to reliability and maintainability, 
03.120.10, 3.12, Quality management and quality assurance, , 
03.120.20, 3.12, Product and company certification. Conformity assessment, Including laboratory accreditation and audit programmes and auditing, 
03.120.30, 3.12, Application of statistical methods, , 
03.120.99, 3.12, Other standards related to quality, , 
03.200.01, 3.2, Leisure and tourism in general, Including outdoor events managementand  tourist information officesand  tourism servicesand  hotelsand  etc., 
03.200.10, 3.2, Adventure tourism, , 
03.200.99, 3.2, Other standards relating to leisure and tourism, Including recreational diving services, 
03.220.01, 3.22, Transport in general, , 
03.220.20, 3.22, Road transport, Including road transport services, 
03.220.30, 3.22, Transport by rail, Including rail transport services, 
03.220.40, 3.22, Transport by water, Including water transport services, 
03.220.50, 3.22, Air transport, Including air transport services, 
03.220.99, 3.22, Other forms of transport, , 
07.100.01, 7.1, Microbiology in general, , 
07.100.10, 7.1, Medical microbiology, , 
07.100.20, 7.1, Microbiology of water, , 
07.100.30, 7.1, Food microbiology, Including microbiology of animal feeding stuffs, 
07.100.40, 7.1, Cosmetics microbiology, , 
07.100.99, 7.1, Other standards related to microbiology, , 
11.020.01, 11.02, Quality and environmental management in health care, Including quality and environmental management in health care technology, 
11.020.10, 11.02, Health care services in general, Including care homesand  dementia careand  assisted livingand  aesthetic surgeryand  chiropractic servicesand  etc., 
11.020.20, 11.02, Medical science, Including regenerative medicineand  cell therapyand  stratified medicine, 
11.020.99, 11.02, Other standards related to health care in general, , 
11.040.01, 11.04, Medical equipment in general, , 
11.040.10, 11.04, Anaestheticand  respiratory and reanimation equipment, Including medical gas installations, 
11.040.20, 11.04, Transfusionand  infusion and injection equipment, Including blood packs and containers for transfusion, 
11.040.25, 11.04, Syringesand  needles and catheters, , 
11.040.30, 11.04, Surgical instruments and materials, Including surgical dressingsand  suturesand  etc., 
11.040.40, 11.04, Implants for surgeryand  prosthetics and orthotics, Including pacemakers, 
11.040.50, 11.04, Radiographic equipment, Including radiographic diagnostic and therapy equipment, 
11.040.55, 11.04, Diagnostic equipment, Including medical monitoring equipmentand  medical thermometers and related materials, 
11.040.60, 11.04, Therapy equipment, , 
11.040.70, 11.04, Ophthalmic equipment, Including ophthalmic implantsand  glassesand  contact lenses and their cleaning products, 
11.040.99, 11.04, Other medical equipment, , 
11.060.01, 11.06, Dentistry in general, , 
11.060.10, 11.06, Dental materials, , 
11.060.15, 11.06, Dental implants, Including dentures, 
11.060.20, 11.06, Dental equipment, , 
11.060.25, 11.06, Dental instruments, , 
11.080.01, 11.08, Sterilization and disinfection in general, Including sterilization methodsand  air quality of surgery roomsand  etc., 
11.080.10, 11.08, Sterilizing equipment, , 
11.080.20, 11.08, Disinfectants and antiseptics, Including indicators, 
11.080.30, 11.08, Sterilized packaging, , 
11.080.99, 11.08, Other standards related to sterilization and disinfection, , 
11.100.01, 11.1, Laboratory medicine in general, , 
11.100.10, 11.1, In vitro diagnostic test systems, , 
11.100.20, 11.1, Biological evaluation of medical devices, , 
11.100.30, 11.1, Analysis of blood and urine, Including doping control, 
11.100.99, 11.1, Other standards related to laboratory medicine, , 
11.120.01, 11.12, Pharmaceutics in general, , 
11.120.10, 11.12, Medicaments, Including medical prescriptions and medicinal herbs, 
11.120.20, 11.12, Wound dressings and compresses, , 
11.120.99, 11.12, Other standards related to pharmaceutics, Including equipment for pharmaceutical industry, 
11.180.01, 11.18, Aids for disabled and handicapped persons in general, , 
11.180.10, 11.18, Aids and adaptation for moving, Including wheelchairsand  walking sticks and lifting platforms, 
11.180.15, 11.18, Aids for deaf and hearing impaired people, , 
11.180.20, 11.18, Aids for incontinence and ostomy, , 
11.180.30, 11.18, Aids for blind or partially sighted people, Including Braille, 
11.180.40, 11.18, Aids for drinking and eating, , 
11.180.99, 11.18, Other standards related to aids for disabled and handicapped people, , 
13.020.01, 13.02, Environment and environmental protection in general, , 
13.020.10, 13.02, Environmental management, Including certification and audit, 
13.020.20, 13.02, Environmental economics. Sustainability, Including responsible sourcingand  procurementand  sustainable developmentand  sustainable events managementand  sustainable communitiesand  smart urban infrastructureand  biodiversity, 
13.020.30, 13.02, Environmental impact assessment, Including environmental risk management, 
13.020.40, 13.02, Pollutionand  pollution control and conservation, Including ecotoxicology and greenhouse gas emissions, 
13.020.50, 13.02, Ecolabelling, , 
13.020.55, 13.02, Biobased products, , 
13.020.60, 13.02, Product life-cycles, Including environmental footprintand  carbon neutrality, 
13.020.70, 13.02, Environmental projects, , 
13.020.99, 13.02, Other standards related to environmental protection, , 
13.030.01, 13.03, Wastes in general, , 
13.030.10, 13.03, Solid wastes, , 
13.030.20, 13.03, Liquid wastes. Sludge, , 
13.030.30, 13.03, Special wastes, Including radioactive wastesand  hospital wastesand  carcassesand  electricaland  electronic equipment and other hazardous wastes, 
13.030.40, 13.03, Installations and equipment for waste disposal and treatment, Including street cleaning equipmentand  waste containersand  incineration and compaction equipmentand  equipment for dumping of refuseand  landfill sitesand  etc., 
13.030.50, 13.03, Recycling, Including relevant equipment, 
13.030.99, 13.03, Other standards related to wastes, Including waste prevention, 
13.040.01, 13.04, Air quality in general, , 
13.040.20, 13.04, Ambient atmospheres, Including indoor air, 
13.040.30, 13.04, Workplace atmospheres, , 
13.040.35, 13.04, Cleanrooms and associated controlled environments, , 
13.040.40, 13.04, Stationary source emissions, , 
13.040.50, 13.04, Transport exhaust emissions, , 
13.040.99, 13.04, Other standards related to air quality, , 
13.060.01, 13.06, Water quality in general, , 
13.060.10, 13.06, Water of natural resources, , 
13.060.20, 13.06, Drinking water, , 
13.060.25, 13.06, Water for industrial use, Including water for commercial use: for swimming poolsand  fish breedingand  etc., 
13.060.30, 13.06, Sewage water, Including sewage water disposal and treatment, 
13.060.45, 13.06, Examination of water in general, Including sampling, 
13.060.50, 13.06, Examination of water for chemical substances, , 
13.060.60, 13.06, Examination of physical properties of water, , 
13.060.70, 13.06, Examination of biological properties of water, , 
13.060.99, 13.06, Other standards related to water quality, , 
13.080.01, 13.08, Soil quality and pedology in general, Including pollutionand  erosionand  degradationand  etc., 
13.080.05, 13.08, Examination of soils in general, Including sampling, 
13.080.10, 13.08, Chemical characteristics of soils, , 
13.080.20, 13.08, Physical properties of soils, , 
13.080.30, 13.08, Biological properties of soils, , 
13.080.40, 13.08, Hydrological properties of soils, , 
13.080.99, 13.08, Other standards related to soil quality, Including agricultural aspects related to soils and re-use of soil materials, 
13.220.01, 13.22, Protection against fire in general, Including fire safety, 
13.220.10, 13.22, Fire-fighting, Including equipment and vehicles, 
13.220.20, 13.22, Fire protection, Including equipment, 
13.220.40, 13.22, Ignitability and burning behaviour of materials and products, , 
13.220.50, 13.22, Fire-resistance of building materials and elements, , 
13.220.99, 13.22, Other standards related to protection against fire, , 
13.340.01, 13.34, Protective equipment in general, , 
13.340.10, 13.34, Protective clothing, Including flameproof clothing, 
13.340.20, 13.34, Head protective equipment, Including helmetsand  eye-protectorsand  hearing protectorsand  ear muffsand  teeth protectors and hoods., 
13.340.30, 13.34, Respiratory protective devices, , 
13.340.40, 13.34, Hand and arm protection, Including protective glovesand  sleeves and mits, 
13.340.50, 13.34, Leg and foot protection, Including safety boots and shoes, 
13.340.60, 13.34, Protection against falling and slipping, Including safety ropesand  harnesses and fall arrestors, 
13.340.70, 13.34, Lifejacketsand  buoyancy aids and flotation devices, , 
13.340.99, 13.34, Other protective equipment, , 
17.040.01, 17.04, Linear and angular measurements in general, , 
17.040.10, 17.04, Limits and fits, , 
17.040.20, 17.04, Properties of surfaces, , 
17.040.30, 17.04, Measuring instruments, , 
17.040.40, 17.04, Geometrical Product Specification (GPS), , 
17.040.99, 17.04, Other standards related to linear and angular measurements, , 
17.120.01, 17.12, Measurement of fluid flow in general, , 
17.120.10, 17.12, Flow in closed conduits, , 
17.120.20, 17.12, Flow in open channels, Including hydrometric determinations, 
17.140.01, 17.14, Acoustic measurements and noise abatement in general, Including acoustic insulation, 
17.140.20, 17.14, Noise emitted by machines and equipment, , 
17.140.30, 17.14, Noise emitted by means of transport, Including road noiseand  railway noiseand  harbour noise and airport noise, 
17.140.50, 17.14, Electroacoustics, Including sound level meters, 
17.140.99, 17.14, Other standards related to acoustics, , 
17.180.01, 17.18, Optics and optical measurements in general, , 
17.180.20, 17.18, Colours and measurement of light, , 
17.180.30, 17.18, Optical measuring instruments, Including spectroscopesand  geodetic instrumentsand  etc., 
17.180.99, 17.18, Other standards related to optics and optical measurements, , 
17.200.01, 17.2, Thermodynamics in general, , 
17.200.10, 17.2, Heat. Calorimetry, , 
17.200.20, 17.2, Temperature-measuring instruments, Including thermostats, 
17.200.99, 17.2, Other standards related to thermodynamics, , 
17.220.01, 17.22, Electricity. Magnetism. General aspects, Including electromagnetism, 
17.220.20, 17.22, Measurement of electrical and magnetic quantities, Including measuring instrumentsand  instrument transformers, 
17.220.99, 17.22, Other standards related to electricity and magnetism, , 
21.040.01, 21.04, Screw threads in general, , 
21.040.10, 21.04, Metric screw threads, , 
21.040.20, 21.04, Inch screw threads, Including Whitworth screw threads, 
21.040.30, 21.04, Special screw threads, Including miniature screw threadsand  pipe threadsand  etc., 
21.060.01, 21.06, Fasteners in general, , 
21.060.10, 21.06, Boltsand  screwsand  studs, , 
21.060.20, 21.06, Nuts, , 
21.060.30, 21.06, Washersand  locking elements, , 
21.060.40, 21.06, Rivets, , 
21.060.50, 21.06, Pinsand  nails, , 
21.060.60, 21.06, Ringsand  bushesand  sleevesand  collars, , 
21.060.70, 21.06, Clamps and staples, , 
21.060.99, 21.06, Other fasteners, , 
21.100.01, 21.1, Bearings in general, , 
21.100.10, 21.1, Plain bearings, , 
21.100.20, 21.1, Rolling bearings, , 
21.120.01, 21.12, Shafts and couplings in general, , 
21.120.10, 21.12, Shafts, , 
21.120.20, 21.12, Couplings, , 
21.120.30, 21.12, Keys and keywaysand  splines, , 
21.120.40, 21.12, Balancing and balancing machines, , 
21.120.99, 21.12, Other standards related to shafts and couplings, , 
21.220.01, 21.22, Flexible drives and transmissions in general, , 
21.220.10, 21.22, Belt drives and their components, , 
21.220.20, 21.22, Cable or rope drives and their components, , 
21.220.30, 21.22, Chain drives and their components, , 
21.220.99, 21.22, Other flexible drives and transmissions, , 
23.020.01, 23.02, Fluid storage devices in general, , 
23.020.10, 23.02, Stationary containers and tanks, , 
23.020.20, 23.02, Vessels and containers mounted on vehicles, , 
23.020.30, 23.02, Pressure vessels, , 
23.020.35, 23.02, Gas cylinders, , 
23.020.40, 23.02, Cryogenic vessels, , 
23.020.99, 23.02, Other fluid storage devices, , 
23.040.01, 23.04, Pipeline components and pipelines in general, , 
23.040.03, 23.04, Pipelines and its parts for external water conveyance systems, , 
23.040.05, 23.04, Pipelines and its parts for external sewage systems, , 
23.040.07, 23.04, Pipelines and its parts for district heat, , 
23.040.10, 23.04, Iron and steel pipes, , 
23.040.15, 23.04, Non-ferrous metal pipes, , 
23.040.20, 23.04, Plastics pipes, , 
23.040.40, 23.04, Metal fittings, , 
23.040.45, 23.04, Plastics fittings, , 
23.040.50, 23.04, Pipes and fittings of other materials, , 
23.040.60, 23.04, Flangesand  couplings and joints, , 
23.040.70, 23.04, Hoses and hose assemblies, , 
23.040.80, 23.04, Seals for pipe and hose assemblies, , 
23.040.99, 23.04, Other pipeline components, , 
23.060.01, 23.06, Valves in general, , 
23.060.10, 23.06, Globe valves, , 
23.060.20, 23.06, Ball and plug valves, , 
23.060.30, 23.06, Gate valves, , 
23.060.40, 23.06, Pressure regulators, Including pressure-reducers, 
23.060.50, 23.06, Check valves, , 
23.060.99, 23.06, Other valves, , 
23.100.01, 23.1, Fluid power systems in general, , 
23.100.10, 23.1, Pumps and motors, , 
23.100.20, 23.1, Cylinders, , 
23.100.40, 23.1, Piping and couplings, , 
23.100.50, 23.1, Control components, Including valves, 
23.100.60, 23.1, Filtersand  seals and contamination of fluids, , 
23.100.99, 23.1, Other fluid power system components, , 
25.040.01, 25.04, Industrial automation systems in general, , 
25.040.10, 25.04, Machining centres, , 
25.040.20, 25.04, Numerically controlled machines, , 
25.040.30, 25.04, Industrial robots. Manipulators, , 
25.040.40, 25.04, Industrial process measurement and control, , 
25.040.99, 25.04, Other industrial automation systems, , 
25.060.01, 25.06, Machine tool systems in general, , 
25.060.10, 25.06, Modular units and other devices, , 
25.060.20, 25.06, Dividing and tool-workpiece holding devices, , 
25.060.99, 25.06, Other machine tool systems, , 
25.080.01, 25.08, Machine tools in general, , 
25.080.10, 25.08, Lathes, , 
25.080.20, 25.08, Boring and milling machines, , 
25.080.25, 25.08, Planing machines, , 
25.080.30, 25.08, Broaching machines, , 
25.080.40, 25.08, Drilling machines, , 
25.080.50, 25.08, Grinding and polishing machines, , 
25.080.60, 25.08, Sawing machines, , 
25.080.99, 25.08, Other machine tools, , 
25.100.01, 25.1, Cutting tools in general, , 
25.100.10, 25.1, Turning tools, , 
25.100.20, 25.1, Milling tools, , 
25.100.25, 25.1, Tools for planing and broaching machines, , 
25.100.30, 25.1, Drillsand  countersinksand  reamers, , 
25.100.40, 25.1, Saws, , 
25.100.50, 25.1, Taps and threading dies, , 
25.100.60, 25.1, Files, , 
25.100.70, 25.1, Abrasives, , 
25.100.99, 25.1, Other cutting tools, , 
25.120.01, 25.12, Chipless working equipment in general, , 
25.120.10, 25.12, Forging equipment. Presses. Shears, , 
25.120.20, 25.12, Rollingand  extruding and drawing equipment, , 
25.120.30, 25.12, Moulding equipment, , 
25.120.40, 25.12, Electrochemical machines, , 
25.120.99, 25.12, Other chipless working equipment, , 
25.140.01, 25.14, Hand-held tools in general, , 
25.140.10, 25.14, Pneumatic tools, , 
25.140.20, 25.14, Electric tools, , 
25.140.30, 25.14, Hand-operated tools, Including wrenchesand  screwdriversand  pliersand  nippersand  hammersand  etc., 
25.140.99, 25.14, Other hand-held tools, , 
25.160.01, 25.16, Weldingand  brazing and soldering in general, Including welders' qualifications, 
25.160.10, 25.16, Welding processes, Including thermal cutting and cladding, 
25.160.20, 25.16, Welding consumables, Including electrodesand  filler metalsand  gasesand  etc., 
25.160.30, 25.16, Welding equipment, Including thermal cutting equipment, 
25.160.40, 25.16, Welded joints and welds, Including welding position and mechanical and non-destructive testing of welded joints, 
25.160.50, 25.16, Brazing and soldering, Including brazing and soldering alloys and equipment, 
25.180.01, 25.18, Industrial furnaces in general, , 
25.180.10, 25.18, Electric furnaces, , 
25.180.20, 25.18, Fuel furnaces, , 
25.220.01, 25.22, Surface treatment and coating in general, , 
25.220.10, 25.22, Surface preparation, Including surface preparation for paintingand  cleaningand  scouringand  blastingand  etc., 
25.220.20, 25.22, Surface treatment, Including anodizationand  conversion coatingand  thermal sprayingand  etc., 
25.220.40, 25.22, Metallic coatings, Including electrolytic depositionsand  cathodic coatingsand  autocatalytic coatingsand  etc., 
25.220.50, 25.22, Enamels, , 
25.220.60, 25.22, Organic coatings, , 
25.220.99, 25.22, Other treatments and coatings, , 
27.060.01, 27.06, Burners and boilers in general, , 
27.060.10, 27.06, Liquid and solid fuel burners, , 
27.060.20, 27.06, Gas fuel burners, , 
27.060.30, 27.06, Boilers and heat exchangers, Including steam pressure vessels, 
27.120.01, 27.12, Nuclear energy in general, , 
27.120.10, 27.12, Reactor engineering, , 
27.120.20, 27.12, Nuclear power plants. Safety, , 
27.120.30, 27.12, Fissile materials and nuclear fuel technology, Including raw materials, 
27.120.99, 27.12, Other standards related to nuclear energy, , 
29.035.01, 29.035, Insulating materials in general, , 
29.035.10, 29.035, Paper and board insulating materials, , 
29.035.20, 29.035, Plastics and rubber insulating materials, Including adhesive tapes, 
29.035.30, 29.035, Glass and ceramic insulating materials, , 
29.035.50, 29.035, Mica based materials, , 
29.035.60, 29.035, Varnished fabrics, , 
29.035.99, 29.035, Other insulating materials, , 
29.040.01, 29.04, Insulating fluids in general, , 
29.040.10, 29.04, Insulating oils, , 
29.040.20, 29.04, Insulating gases, , 
29.040.99, 29.04, Other insulating fluids, , 
29.060.01, 29.06, Electrical wires and cables in general, , 
29.060.10, 29.06, Wires, Including electric rodsand  busbarsand  etc., 
29.060.20, 29.06, Cables, , 
29.080.01, 29.08, Electrical insulation in general, , 
29.080.10, 29.08, Insulators, Including fittings and other components for insulators, 
29.080.20, 29.08, Bushings, , 
29.080.30, 29.08, Insulation systems, , 
29.080.99, 29.08, Other standards related to insulation, , 
29.100.01, 29.1, Components for electrical equipment in general, , 
29.100.10, 29.1, Magnetic components, , 
29.100.20, 29.1, Electric and electromechanical components, , 
29.100.99, 29.1, Other components for electrical equipment, , 
29.120.01, 29.12, Electrical accessories in general, , 
29.120.10, 29.12, Conduits for electrical purposes, , 
29.120.20, 29.12, Connecting devices, , 
29.120.30, 29.12, Plugsand  socket-outletsand  couplers, , 
29.120.40, 29.12, Switches, , 
29.120.50, 29.12, Fuses and other overcurrent protection devices, , 
29.120.70, 29.12, Relays, , 
29.120.99, 29.12, Other electrical accessories, , 
29.130.01, 29.13, Switchgear and controlgear in general, , 
29.130.10, 29.13, High voltage switchgear and controlgear, Including enclosed switchgear and controlgear, 
29.130.20, 29.13, Low voltage switchgear and controlgear, Including switchgear and controlgear assemblies, 
29.130.99, 29.13, Other switchgear and controlgear, , 
29.140.01, 29.14, Lamps in general, , 
29.140.10, 29.14, Lamp caps and holders, , 
29.140.20, 29.14, Incandescent lamps, , 
29.140.30, 29.14, Fluorescent lamps. Discharge lamps, , 
29.140.40, 29.14, Luminaires, , 
29.140.50, 29.14, Lighting installation systems, Including supply track systems, 
29.140.99, 29.14, Other standards related to lamps, , 
29.160.01, 29.16, Rotating machinery in general, , 
29.160.10, 29.16, Components for rotating machines, , 
29.160.20, 29.16, Generators, , 
29.160.30, 29.16, Motors, , 
29.160.40, 29.16, Generating sets, , 
29.160.99, 29.16, Other standards related to rotating machinery, , 
29.220.01, 29.22, Galvanic cells and batteries in general, , 
29.220.10, 29.22, Primary cells and batteries, , 
29.220.20, 29.22, Acid secondary cells and batteries, , 
29.220.30, 29.22, Alkaline secondary cells and batteries, , 
29.220.99, 29.22, Other cells and batteries, , 
29.240.01, 29.24, Power transmission and distribution networks in general, , 
29.240.10, 29.24, Substations. Surge arresters, , 
29.240.20, 29.24, Power transmission and distribution lines, , 
29.240.30, 29.24, Control equipment for electric power systems, , 
29.240.99, 29.24, Other equipment related to power transmission and distribution networks, Including capacitors for power networks, 
29.260.01, 29.26, Electrical equipment for working in special conditions in general, , 
29.260.10, 29.26, Electrical installations for outdoor use, , 
29.260.20, 29.26, Electrical apparatus for explosive atmospheres, , 
29.260.99, 29.26, Other electrical equipment for working in special conditions, , 
31.040.01, 31.04, Resistors in general, , 
31.040.10, 31.04, Fixed resistors, , 
31.040.20, 31.04, Potentiometersand  variable resistors, , 
31.040.30, 31.04, Thermistors, , 
31.040.99, 31.04, Other resistors, , 
31.060.01, 31.06, Capacitors in general, , 
31.060.10, 31.06, Fixed capacitors, , 
31.060.20, 31.06, Ceramic and mica capacitors, , 
31.060.30, 31.06, Paper and plastics capacitors, , 
31.060.40, 31.06, Tantalum electrolytic capacitors, , 
31.060.50, 31.06, Aluminium electrolytic capacitors, , 
31.060.60, 31.06, Variable capacitors, , 
31.060.70, 31.06, Power capacitors, , 
31.060.99, 31.06, Other capacitors, , 
31.080.01, 31.08, Semiconductor devices in general, , 
31.080.10, 31.08, Diodes, , 
31.080.20, 31.08, Thyristors, , 
31.080.30, 31.08, Transistors, , 
31.080.99, 31.08, Other semiconductor devices, , 
31.220.01, 31.22, Electromechanical components in general, , 
31.220.10, 31.22, Plug-and-socket devices. Connectors, , 
31.220.20, 31.22, Switches, , 
31.220.99, 31.22, Other electromechanical components, , 
33.040.01, 33.04, Telecommunication systems in general, , 
33.040.20, 33.04, Transmission systems, Including synchronizationand  cable systemsand  integrated cablingand  pathways and multiplexing, 
33.040.30, 33.04, Switching and signalling systems, Including telecommunication call charging and billing aspects, 
33.040.35, 33.04, Telephone networks, Including Public Switched Telephone Networks (PSTN)and  Private Telecommunication Networks (PTN) and Private Integrated Service Networks (PISN), 
33.040.40, 33.04, Data communication networks, Including Packet Switched Public Data Networks (PSPDN) and Ethernet, 
33.040.50, 33.04, Linesand  connections and circuits, Including access networks and network elements, 
33.040.60, 33.04, Powerline telecommunications, , 
33.040.99, 33.04, Other equipment for telecommunication systems, , 
33.050.01, 33.05, Telecommunication terminal equipment in general, , 
33.050.10, 33.05, Telephone equipment, , 
33.050.20, 33.05, Paging equipment, , 
33.050.30, 33.05, Equipment for telexand  teletextand  telefax, , 
33.050.99, 33.05, Other telecommunication terminal equipment, , 
33.060.01, 33.06, Radiocommunications in general, , 
33.060.20, 33.06, Receiving and transmitting equipment, , 
33.060.30, 33.06, Radio relay and fixed satellite communications systems, , 
33.060.40, 33.06, Cabled distribution systems, , 
33.060.99, 33.06, Other equipment for radiocommunications, , 
33.070.01, 33.07, Mobile services in general, , 
33.070.10, 33.07, Terrestrial Trunked Radio (TETRA), , 
33.070.20, 33.07, Paging systems, Including European Radio Message System (ERMES), 
33.070.30, 33.07, Digital Enhanced Cordless Telecommunications (DECT), , 
33.070.40, 33.07, Satellite, Including Global Positioning System (GPS), 
33.070.50, 33.07, Global System for Mobile Communication (GSM), , 
33.070.99, 33.07, Other mobile services, , 
33.100.01, 33.1, Electromagnetic compatibility in general, , 
33.100.10, 33.1, Emission, , 
33.100.20, 33.1, Immunity, , 
33.100.99, 33.1, Other aspects related to EMC, , 
33.120.01, 33.12, Components and accessories in general, , 
33.120.10, 33.12, Coaxial cables. Waveguides, , 
33.120.20, 33.12, Wires and symmetrical cables, , 
33.120.30, 33.12, RF connectors, , 
33.120.40, 33.12, Aerials, , 
33.120.99, 33.12, Other components and accessories, , 
33.160.01, 33.16, Audioand  video and audiovisual systems in general, , 
33.160.10, 33.16, Amplifiers, , 
33.160.20, 33.16, Radio receivers, , 
33.160.25, 33.16, Television receivers, , 
33.160.30, 33.16, Audio systems, Including tape recordersand  recordsand  magnetic tapesand  cassettesand  CDsand  etc., 
33.160.40, 33.16, Video systems, Including video tape recordersand  camerasand  cassettesand  laser disksand  etc., 
33.160.50, 33.16, Accessories, Including headphonesand  loudspeakersand  microphonesand  etc., 
33.160.60, 33.16, Multimedia systems and teleconferencing equipment, , 
33.160.99, 33.16, Other audioand  video and audiovisual equipment, , 
33.180.01, 33.18, Fibre optic systems in general, , 
33.180.10, 33.18, Fibres and cables, , 
33.180.20, 33.18, Fibre optic interconnecting devices, , 
33.180.30, 33.18, Optic amplifiers, , 
33.180.99, 33.18, Other fibre optic equipment, , 
35.040.01, 35.04, Information coding in general, , 
35.040.10, 35.04, Coding of character sets, , 
35.040.30, 35.04, Coding of graphical and photographical information, , 
35.040.40, 35.04, Coding of audioand  videoand  multimedia and hypermedia information, , 
35.040.50, 35.04, Automatic identification and data capture techniques, Including RFIDand  OCRand  bar codingand  etc., 
35.040.99, 35.04, Other standards related to information coding, , 
35.100.01, 35.1, Open systems interconnection in general, , 
35.100.05, 35.1, Multilayer applications, Including International Standardized Profiles, 
35.100.10, 35.1, Physical layer, , 
35.100.20, 35.1, Data link layer, , 
35.100.30, 35.1, Network layer, , 
35.100.40, 35.1, Transport layer, , 
35.100.50, 35.1, Session layer, , 
35.100.60, 35.1, Presentation layer, , 
35.100.70, 35.1, Application layer, , 
35.220.01, 35.22, Data storage devices in general, , 
35.220.10, 35.22, Paper cards and tapes, , 
35.220.20, 35.22, Magnetic storage devices in general, , 
35.220.21, 35.22, Magnetic disks, Including flexible disksand  diskettesand  disk packsand  disk cartridgesand  etc., 
35.220.22, 35.22, Magnetic tapes, , 
35.220.23, 35.22, Cassettes and cartridges for magnetic tapes, , 
35.220.30, 35.22, Optical storage devices, Including CD and magneto-optical devices (MO), 
35.220.99, 35.22, Other data storage devices, , 
35.240.01, 35.24, Application of information technology in general, , 
35.240.10, 35.24, Computer-aided design (CAD), , 
35.240.15, 35.24, Identification cards. Chip cards. Biometrics, Including application of cards for bankingand  tradeand  telecommunicationsand  transportand  etc., 
35.240.20, 35.24, IT applications in office work, Including text processing systemsand  text communicationand  text presentationand  Office Document Architecture (ODA)and  etc., 
35.240.30, 35.24, IT applications in informationand  documentation and publishing, Including Standard Generalized Markup Language (SGML)and  Extensible Markup Language (XML)and  automatic translation machinesand  etc., 
35.240.40, 35.24, IT applications in banking, Including automatic banking facilities, 
35.240.50, 35.24, IT applications in industry, Including design automation, 
35.240.60, 35.24, IT applications in transport, , 
35.240.63, 35.24, IT applications in trade, Including EDIFACT and e-commerce, 
35.240.67, 35.24, IT applications in building and construction industry, Including building information modellingand  Home and Building Electronic Systems (HBES), 
35.240.68, 35.24, IT applications in agriculture, , 
35.240.69, 35.24, IT applications in postal services, , 
35.240.70, 35.24, IT applications in science, Including digital geographic information, 
35.240.80, 35.24, IT applications in health care technology, Including computer tomography, 
35.240.90, 35.24, IT applications in education, Including e-learning, 
35.240.95, 35.24, Internet applications, , 
35.240.99, 35.24, IT applications in other fields, , 
37.040.01, 37.04, Photography in general, , 
37.040.10, 37.04, Photographic equipment. Projectors, , 
37.040.20, 37.04, Photographic paperand  films and plates. Cartridges, , 
37.040.25, 37.04, Radiographic films, Including dentaland  medical and industrial radiographic films, 
37.040.30, 37.04, Photographic chemicals, , 
37.040.99, 37.04, Other standards related to photography, , 
37.060.01, 37.06, Cinematography in general, , 
37.060.10, 37.06, Motion picture equipment, , 
37.060.20, 37.06, Motion picture films. Cartridges, , 
37.060.99, 37.06, Other standards related to cinematography, , 
37.100.01, 37.1, Graphic technology in general, Including proof corrections, 
37.100.10, 37.1, Reproduction equipment, Including printingand  copying and duplicating machinesand  bookbinding equipmentand  etc., 
37.100.20, 37.1, Materials for graphic technology, , 
37.100.99, 37.1, Other standards related to graphic technology, , 
39.040.01, 39.04, Horology in general, , 
39.040.10, 39.04, Watches, , 
39.040.20, 39.04, Clocks, , 
39.040.99, 39.04, Other time-measuring instruments, , 
43.040.01, 43.04, Road vehicle systems in general, , 
43.040.10, 43.04, Electrical and electronic equipment, , 
43.040.15, 43.04, Car informatics. On board computer systems, Including navigation systemsand  car radioand  etc., 
43.040.20, 43.04, Lightingand  signalling and warning devices, , 
43.040.30, 43.04, Indicating and control devices, , 
43.040.40, 43.04, Braking systems, , 
43.040.50, 43.04, Transmissionsand  suspensions, Including clutchesand  gearboxesand  power-steering systemsand  cardan shaftsand  differentialsand  wheelsand  rimsand  etc., 
