ICS, Parent ICS, Title, Scope, 
21.24, 21, Rotary-reciprocating mechanisms and their parts, Including pistonsand  piston-ringsand  crankshaftsand  etc. for general engineering, 
21.26, 21, Lubrication systems, , 
23.02, 23, Fluid storage devices, , 
23.04, 23, Pipeline components and pipelines, , 
23.06, 23, Valves, , 
23.08, 23, Pumps, , 
23.1, 23, Fluid power systems, , 
23.12, 23, Ventilators. Fans. Air-conditioners, , 
23.14, 23, Compressors and pneumatic machines, , 
23.16, 23, Vacuum technology, Including vacuum pumps, 
25.02, 25, Manufacturing forming processes, , 
25.03, 25, Additive manufacturing, , 
25.04, 25, Industrial automation systems, , 
25.06, 25, Machine tool systems, , 
25.08, 25, Machine tools, , 
25.1, 25, Cutting tools, Including industrial diamonds, 
25.12, 25, Chipless working equipment, , 
25.14, 25, Hand-held tools, , 
25.16, 25, Weldingand  brazing and soldering, Including gas weldingand  electric weldingand  plasma weldingand  electron beam weldingand  plasma cuttingand  etc., 
25.18, 25, Industrial furnaces, , 
25.2, 25, Heat treatment, , 
25.22, 25, Surface treatment and coating, Including processes and equipment for surface treatment and coating, 
27.01, 27, Energy and heat transfer engineering in general, , 
27.015, 27, Energy efficiency. Energy conservation in general, Including energy audits, 
27.02, 27, Internal combustion engines, , 
27.04, 27, Gas and steam turbines. Steam engines, , 
27.06, 27, Burners. Boilers, , 
27.07, 27, Fuel cells, , 
27.075, 27, Hydrogen technologies, , 
27.08, 27, Heat pumps, , 
27.1, 27, Power stations in general, Including thermal power plants, 
27.12, 27, Nuclear energy engineering, , 
27.14, 27, Hydraulic energy engineering, Including hydraulic turbines, 
27.16, 27, Solar energy engineering, Including photovoltaic energy systems, 
27.18, 27, Wind turbine energy systems, Including generation of electrical energy, 
27.19, 27, Biological sources and alternative sources of energy, , 
27.2, 27, Refrigerating technology, , 
27.22, 27, Heat recovery. Thermal insulation, , 
