Line, From, To, Length [km], # Stops, Stops, Color, Ride time [min], Opened
U1, Langwasser Süd, Fürth Hardhöhe, 18.5, 27, Langwasser Süd - Gemeinschaftshaus - Langwasser Mitte - Scharfreiterring - Langwasser Nord - Messe - Bauernfeindstraße - Hasenbuck - Frankenstraße - Maffeiplatz - Aufseßplatz - Nürnberg Hauptbahnhof - Lorenzkirche - Weißer Turm - Plärrer - Gostenhof - Bärenschanze - Maximilianstraße - Eberhardshof - Muggenhof - Stadtgrenze - Jakobinenstraße - Fürth Hauptbahnhof - Fürth Rathaus - Fürth Stadthalle - Fürth Klinikum - Fürth Hardhöhe, blue, 35, 1 March 1972
U2, Röthenbach, Flughafen/Airport, 13.2, 16, Röthenbach - Hohe Marter - Schweinau - Sankt Leonhard - Rothenburger Straße - Plärrer - Opernhaus - Nürnberg Hauptbahnhof - Wöhrder Wiese - Rathenauplatz - Rennweg - Schoppershof - Nordostbahnhof - Herrnhütte - Ziegelstein - Flughafen, red, 22, 28 January 1984
U3, Großreuth bei Schweinau, Nordwestring, 9.2, 14, Großreuth bei Schweinau - Gustav-Adolf-Straße - Sündersbühl - Rothenburger Straße - Plärrer - Opernhaus - Nürnberg Hauptbahnhof - Wöhrder Wiese - Rathenauplatz - Maxfeld - Kaulbachplatz - Friedrich-Ebert-Platz - Klinikum Nord - Nordwestring, green, 19, 14 June 2008
