nepal_provinces.csv
Province,ISO Code,# Districts,Capital,Area,Last Official Population
Koshi Province,NP-P1,14,Biratnagar,25905,4961412
Madhesh Province,NP-P2,8,Janakpur,9661,6114600
Bagmati Province,NP-P3,13,Hetauda,20300,6116866
Gandaki Province,NP-P4,11,Pokhara,21504,2466427
Lumbini Province,NP-P5,12,Deukhuri,22288,5122078
Karnali Province,NP-P6,10,Birendranagar,27984,1688412
Sudurpashchim Province,NP-P7,9,Godawari,19999,2694783
