Bakonydraco, Europe, Cretaceous,
Balaur, Europe, Cretaceous,
Balochisaurus, Asia, Cretaceous,
Bambiraptor, North America, Cretaceous,
Banji, Asia, Cretaceous,
Baotianmansaurus, Asia, Cretaceous,
Barapasaurus, Asia, Jurassic,
Barbosania, South America, Cretaceous,
Barilium, Europe, Cretaceous,
Barosaurus, North America, Jurassic,
Barrosasaurus, South America, Cretaceous,
Barsboldia, Asia, Cretaceous,
Baryonyx, Europe; Africa, Cretaceous,
Batrachognathus, Asia, Jurassic,
Batyrosaurus, Asia, Cretaceous,
Baurutitan, South America, Cretaceous,
Bayosaurus, South America, Cretaceous,
Becklespinax, Europe, Cretaceous,
Beelemodon, North America, Jurassic,
Beipiaopterus, Asia, Cretaceous,
Beipiaosaurus, Asia, Cretaceous,
Beishanlong, Asia, Cretaceous,
Bellubrunnus, Europe, Jurassic,
Bellusaurus, Asia, Jurassic,
Berberosaurus, Africa, Jurassic,
Betasuchus, Europe, Cretaceous,
Bicentenaria, South America, Cretaceous,
Bienosaurus, Asia, Jurassic,
Bihariosaurus, Europe, Cretaceous,
Bishanopliosaurus, , Jurassic,
Bissektipelta, Asia, Cretaceous,
Bistahieversor, North America, Cretaceous,
Blasisaurus, Europe, Cretaceous,
Blikanasaurus, Africa, Triassic,
Bobosaurus, , Triassic,
Bolong, Asia, Cretaceous,
Bonapartenykus, South America, Cretaceous,
Bonatitan, South America, Cretaceous,
Bonitasaura, South America, Cretaceous,
Borealosaurus, Asia, Cretaceous,
Boreopterus, Asia, Cretaceous,
Borogovia, Asia, Cretaceous,
Bothriospondylus, Europe, Jurassic,
Brachauchenius, , Cretaceous,
Brachiosaurus, North America, Jurassic; Cretaceous,
Brachyceratops, North America, Cretaceous,
Brachylophosaurus, North America, Cretaceous,
Brachytrachelopan, South America, Jurassic,
Bradycneme, Europe, Cretaceous,
Brancasaurus, , Cretaceous,
Brasileodactylus, South America, Cretaceous,
Brasilotitan, South America, Cretaceous,
Bravoceratops, North America, Cretaceous,
Breviceratops, Asia, Cretaceous,
Brohisaurus, Asia, Jurassic,
Brontomerus, North America, Cretaceous,
Brontosaurus, North America, Jurassic,
Bruhathkayosaurus, Asia, Cretaceous,
Buitreraptor, South America, Cretaceous,
Burianosaurus, Europe, Cretaceous,
Byronosaurus, Asia, Cretaceous,
Cacibupteryx, , Jurassic,
Caenagnathasia, Asia, Cretaceous,
Caiuajara, South America, Cretaceous,
Calamosaurus, Europe, Cretaceous,
Calamospondylus, Europe, Cretaceous,
Callawayasaurus, , Cretaceous,
Callovosaurus, Europe, Jurassic,
Camarasaurus, North America, Jurassic,
Camarillasaurus, Europe, Cretaceous,
Camelotia, Europe, Triassic,
Camposaurus, North America, Triassic,
Camptosaurus, North America, Jurassic,
Campylodoniscus, South America, Cretaceous,
Campylognathoides, Europe, Jurassic,
Canardia, Europe, Cretaceous,
Capitalsaurus, North America, Cretaceous,
Carcharodontosaurus, Africa, Cretaceous,
Cardiodon, Europe, Jurassic,
Carniadactylus, Europe, Triassic,
Carnotaurus, South America, Cretaceous,
Caseosaurus, North America, Triassic,
Cathartesaura, South America, Cretaceous,
Cathetosaurus, North America, Jurassic,
Caudipteryx, Asia, Cretaceous,
Caulkicephalus, Europe, Cretaceous,
Caviramus, Europe, Triassic,
Cearadactylus, South America, Cretaceous,
Cedarosaurus, North America, Cretaceous,
Cedarpelta, North America, Cretaceous,
Cedrorestes, North America, Cretaceous,
Centrosaurus, North America, Cretaceous,
Cerasinops, North America, Cretaceous,
Ceratonykus, Asia, Cretaceous,
Ceratops, North America, Cretaceous,
Ceratosaurus, North America; Europe; Africa, Jurassic,
Cetiosauriscus, Europe, Jurassic,
Cetiosaurus, Europe; Africa, Jurassic,
Changchengopterus, Asia, Jurassic,
Changchunsaurus, Asia, Cretaceous,
Changdusaurus, Asia, Jurassic,
Changyuraptor, Asia, Cretaceous,
Chaoyangopterus, Asia, Cretaceous,
Chaoyangsaurus, Asia, Jurassic,
Charonosaurus, Asia, Cretaceous,
Chasmosaurus, North America, Cretaceous,
Chebsaurus, Africa, Jurassic,
Chenanisaurus, Africa, Cretaceous,
Chialingosaurus, Asia, Jurassic,
Chilantaisaurus, Asia, Cretaceous,
Chilesaurus, South America, Jurassic,
Chindesaurus, North America, Triassic,
Chingkankousaurus, Asia, Cretaceous,
Chinshakiangosaurus, Asia, Jurassic,
Chirostenotes, North America, Cretaceous,
Chondrosteosaurus, Europe, Cretaceous,
Choyrodon, Asia, Cretaceous,
Chromogisaurus, South America, Triassic,
Chuandongocoelurus, Asia, Jurassic,
Chuanjiesaurus, Asia, Jurassic,
Chuanqilong, Asia, Cretaceous,
Chubutisaurus, South America, Cretaceous,
Chungkingosaurus, Asia, Jurassic,
Chuxiongosaurus, Asia, Jurassic,
Cionodon, North America, Cretaceous,
Citipati, Asia, Cretaceous,
Claorhynchus, North America, Cretaceous,
Claosaurus, North America, Cretaceous,
Clasmodosaurus, South America, Cretaceous,
Coahuilaceratops, North America, Cretaceous,
Coelophysis, North America; Africa, Jurassic,
Coeluroides, Asia, Cretaceous,
Coelurus, North America, Jurassic,
Colepiocephale, North America, Cretaceous,
Coloborhynchus, North America; South America; Europe, Cretaceous,
Coloradisaurus, South America, Triassic,
Colymbosaurus, , Jurassic,
Comahuesaurus, South America, Cretaceous,
Comanchesaurus, North America, Triassic,
Compsognathus, Europe, Jurassic,
Compsosuchus, Asia, Cretaceous,
Concavenator, Europe, Cretaceous,
Conchoraptor, Asia, Cretaceous,
Condorraptor, South America, Jurassic,
Confuciusornis, Asia, Cretaceous,
Coronosaurus, North America, Cretaceous,
Corythosaurus, North America, Cretaceous,
Craspedodon, Europe, Cretaceous,
Craterosaurus, Europe, Cretaceous,
Crichtonpelta, Asia, Cretaceous,
Crichtonsaurus, Asia, Cretaceous,
Criorhynchus, , ,
Cristatusaurus, Africa, Cretaceous,
Cruxicheiros, Europe, Jurassic,
Cryolophosaurus, Antarctica, Jurassic,
Cryptocleidus, , ,
Cryptoclidus, , Jurassic,
Cryptosaurus, Europe, Jurassic,
Cryptovolans, Asia, Cretaceous,
Ctenochasma, Europe, Jurassic,
Cumnoria, Europe, Jurassic,
Cuspicephalus, Europe, Jurassic,
Cycnorhamphus, Europe, Jurassic,
Cymatosaurus, , Triassic,
Daanosaurus, Asia, Jurassic,
Dacentrurus, Europe, Jurassic,
Dachongosaurus, Asia, Jurassic,
Daemonosaurus, North America, Triassic,
Dahalokely, Africa, Cretaceous,
Dakotadon, North America, Cretaceous,
Dakotaraptor, North America, Cretaceous,
Damalasaurus, Asia, Jurassic,
Dandakosaurus, Asia, Jurassic,
Darwinopterus, Asia, Jurassic,
Darwinsaurus, Europe, Cretaceous,
Dashanpusaurus, Asia, Jurassic,
Daspletosaurus, North America, Cretaceous,
Datanglong, Asia, Cretaceous,
Datousaurus, Asia, Jurassic,
Dawndraco, North America, Cretaceous,
Daxiatitan, Asia, Cretaceous,
Deinocheirus, Asia, Cretaceous,
Deinodon, North America, Cretaceous,
Deinonychus, North America, Cretaceous,
Delapparentia, Europe, Cretaceous,
Deltadromeus, Africa, Cretaceous,
Demandasaurus, Europe, Cretaceous,
Dendrorhynchoides, Asia, Jurassic; Cretaceous,
Dermodactylus, North America, Jurassic,
Diabloceratops, North America, Cretaceous,
Diamantinasaurus, Oceania, Cretaceous,
Diclonius, North America, Cretaceous,
Dicraeosaurus, Africa, Jurassic,
Dilong, Asia, Cretaceous,
Dilophosaurus, North America; Asia, Jurassic,
Diluvicursor, Oceania, Cretaceous,
Dimorphodon, Europe, Jurassic,
Dinheirosaurus, Europe, Jurassic,
Dinodocus, Europe, Cretaceous,
Diopecephalus, , ,
Diplodocus, North America, Jurassic,
Diplotomodon, North America, Cretaceous,
Djupedalia, Europe, Jurassic,
Dolichorhynchops, , ,
Dolichosuchus, Europe, Triassic,
Dollodon, Europe, Cretaceous,
Domeykodactylus, South America, Cretaceous,
Domeykosaurus, South America, Cretaceous,
Dongbeititan, Asia, Cretaceous,
Dongyangopelta, Asia, Cretaceous,
Dongyangosaurus, Asia, Cretaceous,
Doratorhynchus, Europe, Jurassic; Cretaceous,
Dorygnathus, Europe, Jurassic,
Draconyx, Europe, Jurassic,
Dracopelta, Europe, Jurassic; Cretaceous,
Dracoraptor, Europe, Jurassic,
Dracorex, North America, Cretaceous,
Dracovenator, Africa, Jurassic,
Dravidosaurus, , ,
Dreadnoughtus, South America, Cretaceous,
Drinker, North America, Jurassic,
Dromaeosauroides, Europe, Cretaceous,
Dromaeosaurus, North America, Cretaceous,
Dromiceiomimus, North America, Cretaceous,
Drusilasaura, South America, Cretaceous,
Dryosaurus, North America, Jurassic,
Dryptosauroides, Asia, Cretaceous,
Dryptosaurus, North America, Cretaceous,
Dsungaripterus, Africa; Asia, Jurassic; Cretaceous,
Dubreuillosaurus, Europe, Jurassic,
Duriatitan, Europe, Jurassic,
Duriavenator, Europe, Jurassic,
Dynamoterror, North America, Cretaceous,
Dyoplosaurus, North America, Cretaceous,
Dysalotosaurus, Africa, Jurassic,
Dysganus, North America, Cretaceous,
Dyslocosaurus, North America, Jurassic,
Dystrophaeus, North America, Jurassic,
Echinodon, Europe, Cretaceous,
Edgarosaurus, , ,
Edmarka, North America, Jurassic,
Edmontonia, North America, Cretaceous,
Edmontosaurus, North America, Cretaceous,
Efraasia, Europe, Triassic,
Einiosaurus, North America, Cretaceous,
Ekrixinatosaurus, South America, Cretaceous,
Elaltitan, South America, Cretaceous,
Elanodactylus, Asia, Cretaceous,
Elaphrosaurus, Africa, Jurassic,
Elasmosaurus, , ,
Elmisaurus, Asia, Cretaceous,
Elopteryx, Europe, Cretaceous,
Elrhazosaurus, Africa, Cretaceous,
Emausaurus, Europe, Jurassic,
Enigmosaurus, Asia, Cretaceous,
Eoabelisaurus, South America, Jurassic,
Eoazhdarcho, Asia, Cretaceous,
Eobrontosaurus, North America, Jurassic,
Eocarcharia, Africa, Jurassic,
Eocursor, Africa, Triassic,
Eodromaeus, South America, Triassic,
Eolambia, North America, Cretaceous,
Eomamenchisaurus, Asia, Jurassic,
Eoplesiosaurus, Europe, Jurassic,
Eopteranodon, Asia, Cretaceous,
Eoraptor, South America, Triassic,
Eosinopteryx, Asia, Jurassic,
Eosipterus, Asia, Cretaceous,
Eotrachodon, North America, Cretaceous,
Eotriceratops, North America, Cretaceous,
Eotyrannus, Europe, Cretaceous,
Eousdryosaurus, Europe, Jurassic,
Epachthosaurus, South America, Cretaceous,
Epanterias, North America, Jurassic,
Epichirostenotes, North America, Cretaceous,
Epidendrosaurus, Asia, Jurassic,
Epidexipteryx, Asia, Jurassic,
Equijubus, Asia, Cretaceous,
Erectopus, Europe, Cretaceous,
Eretmosaurus, , ,
Erketu, Asia, Cretaceous,
Erliansaurus, Asia, Cretaceous,
Erlikosaurus, Asia, Cretaceous,
Eromangasaurus, , ,
Eshanosaurus, Asia, Jurassic,
Eucamerotus, Europe, Cretaceous,
Eucercosaurus, Europe, Cretaceous,
Eucnemesaurus, Africa, Triassic,
Eudimorphodon, Europe, Triassic,
Eugongbusaurus, Asia, Jurassic,
Euhelopus, Asia, Cretaceous,
Euoplocephalus, North America, Cretaceous,
Eurazhdarcho, Europe, Cretaceous,
Euronychodon, Europe, Cretaceous,
Europasaurus, Europe, Jurassic,
Europatitan, Europe, Cretaceous,
Europejara, Europe, Cretaceous,
Europelta, Europe, Cretaceous,
