1995, 1045, 
1996, 1236, 
1997, 1582, 
1998, 1842, 
1999, 2361, 
2000, 2519, 
2001, 2781, 
2002, 2852, 
2003, 3286, 
2004, 3490, 
2005, 3606, 
2006, 3473, 
2007, 3585, 
2008, 3837, 
2009, 4153, 
2010, 4463, 
2011, 4848, 
2012, 4907, 
2013, 5278, 
2014, 5433, 
2015, 5623, 
2016, 5770, 
2017, 5705, 
2018, 5662, 
2019, 5720, 
2020, 6974, 
2021, 8263, 
2022, 9000, 
2023, 9768, 
