A,  Senhor de Matosinhos, Estádio do Dragão , 15.6, 23, 7 December 2002, blue, Senhor de Matosinhos - Mercado - Brito Capelo - Matosinhos Sul - Câmara de Matosinhos - Parque de Real - Pedro Hispano - Estádio do Mar - Vasco da Gama - Senhora da Hora - Sete Bicas - Viso - Ramalde - Francos - Casa da Música - Carolina Michaëlis - Lapa - Trindade - Bolhão - Campo 24 de Agosto - Heroísmo - Campanhã - Estádio do Dragão, 40, 
B,  Póvoa de Varzim, Estádio do Dragão , 33.6, 36, 13 March 2005, red, Póvoa de Varzim - São Brás - Portas Fronhas - Alto de Pêga - Vila do Conde - Santa Clara - Azurara - Árvore - Varziela - Espaço Natureza - Mindelo - VC Fashion Outlet/Modivas - Modivas Centro - Modivas Sul - Vilar de Pinheiro - Lidador - Pedras Rubras - Verdes - Crestins - Esposade - Custóias - Fonte do Cuco - Senhora da Hora - Sete Bicas - Viso - Ramalde - Francos - Casa da Música - Carolina Michaëlis - Lapa - Trindade - Bolhão - Campo 24 de Agosto - Heroísmo - Campanhã - Estádio do Dragão, 61, 
C,  ISMAI, Campanhã , 19.6, 24, 30 July 2005, green, ISMAI - Castêlo da Maia - Mandim - Zona Industrial - Fórum Maia - Parque Maia - Custió - Araújo - Pias - Cândido dos Reis - Fonte do Cuco - Senhora da Hora - Sete Bicas - Viso - Ramalde - Francos - Casa da Música - Carolina Michaëlis - Lapa - Trindade - Bolhão - Campo 24 de Agosto - Heroísmo - Campanhã, 41, 
D,  Santo Ovídio, Hospital São João , 9.2, 16, 18 September 2005, yellow, Santo Ovídio - D. João II - João de Deus - Câmara de Gaia - General Torres - Jardim do Morro - São Bento - Aliados - Trindade - Faria Guimarães - Marquês - Combatentes - Salgueiros - Pólo Universitário - IPO - Hospital São João, 32, 
E,  Aeroporto, Trindade , 13.1, 21, 27 May 2006, purple, Francisco de Sá Carneiro Airport - Botica - Verdes - Crestins - Esposade - Custóias - Fonte do Cuco - Senhora da Hora - Sete Bicas - Viso - Ramalde - Francos - Casa da Música - Carolina Michaëlis - Lapa - Trindade - Bolhão - Campo 24 de Agosto - Heroismo - Campanhã - Estádio do Dragão, 35, 
F,  Senhora da Hora, Fânzeres , 17.4, 24, 2 January 2011, orange, Senhora da Hora - Sete Bicas - Viso - Ramalde - Francos - Casa da Música - Carolina Michaëlis - Lapa - Trindade - Bolhão - Campo 24 de Agosto - Heroísmo - Campanhã - Estádio do Dragão - Contumil - Nasoni - Nau Vitória - Levada - Rio Tinto - Campainha - Baguim - Carreira - Venda Nova - Fânzeres, 39, 
G,  Batalha, Ribeira , 0.3, 2, 19 February 2004, brown, Batalha - Ribeira , , 
