Road, Name, From, Route, To, Length [km], Type, 
A1, Trakia, Sofia, Ihtiman; Pazardzhik; Plovdiv; Chirpan; Stara Zagora; Sliven; Yambol, Burgas, 360, Motorway, 
A2, Hemus, Sofia, Botevgrad; Pleven; Lovech; Veliko Tarnovo; Targovishte; Shumen, Varna, 191, Motorway, 
A3, Struma, Sofia, Pernik; Dupnitsa; Blagoevgrad; Sandanski, Kulata, 149, Motorway, 
A4, Maritsa, Chirpan, Haskovo/Dimitrovgrad, Kapitan Andreevo, 117, Motorway, 
A5, Cherno More, Varna, Nesebar, Burgas, 8, Motorway, 
A6, Europe, Sofia, Slivnitsa, Kalotina, 47, Motorway, 
A7, Ruse-Veliko Tarnovo, Ruse, Byala, Veliko Tarnovo, 0, Motorway, 
1, Vidin-Montana, Vidin-Montana, Montana; Ruzintsi, Montana, 12, Expressway, 
