3DP Edition, 
9xx Soldiers sans frontiers Sigma 2, 
15FF, 
64MB DDR GeForce3 Ti 200, 
64MB GeForce2 MX with TV Out, 
128 DDR Radeon 9700 TX w/TV-Out, 
128 DDR Radeon 9800 Pro, 
128MB DDR Radeon 9800 Pro, 
128MB RADEON X600 SE, 
256MB DDR Radeon 9800 XT, 
256MB RADEON X600, 
7900 MOD - Radeon HD 6520G, 
7900 MOD - Radeon HD 6550D, 
A6 Micro-6500T Quad-Core APU with RadeonR4, 
A10-8700P, 
A16, 
ABIT Siluro T400, 
ALL-IN-WONDER 9000, 
ALL-IN-WONDER 9800, 
ALL-IN-WONDER RADEON 8500DV, 
ALL-IN-WONDER X800 GT, 
All-in-Wonder X1800XL, 
All-in-Wonder X1900, 
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI, 
ASUS A7000, 
ASUS AGP-V3800PRO v31.40H, 
ASUS EAH4870x2, 
Asus GTX 650 FML II EC-EGPU, 
ASUS V9520-X V62.11, 
B8DKMDAP, 
Barco MXRT 1450, 
Barco MXRT 2600, 
Barco MXRT 5400, 
Barco MXRT 5450, 
Barco MXRT 5500, 
Barco MXRT 7100, 
Barco MXRT 7400, 
Barco MXRT 7500, 
Barco MXRT 7600, 
BASICDISPLAY, 
CARRIZO 9874, 
Citrix Indirect Display Adapter, 
CONNECT 3D RADEON X300, 
Custom GPU 0405, 
Dell 8100, 
Dell 8200, 
Diamond X1300-PCIE 256MB, 
EAH5450, 
EG PARK, 
EIZO Quadro MED-XN51LP, 
Embedded Radeon E9173, 
Extreme AX850 PRO, 
Familia Intel Q33 Express Chipset, 
Famille de jeu de puces Express Intel 946GZ, 
FireGL T2-128, 
FireGL V3100, 
FireGL V3200, 
FireGL V3300, 
FireGL V3350, 
FireGL V3400, 
FireGL V3600, 
FireGL V5100, 
FireGL V5200, 
FireGL V5600, 
FireGL V7100, 
FireGL V7200, 
FireGL V7300, 
FireGL V7350, 
FireGL V7600, 
FireGL V7700, 
FireGL V8600, 
FireGL V8650, 
FireGL X1, 
FireMV 2200 PCI, 
FireMV 2200 PCIe, 
FireMV 2250, 
FireMV 2260, 
FireMV 2400 PCIe, 
FireMV 2450, 
FirePro 3D V3700, 
FirePro 3D V3750, 
FirePro 3D V3800, 
FirePro 3D V4800, 
FirePro 3D V5700, 
FirePro 3D V5800, 
FirePro 3D V7750, 
FirePro 3D V7800, 
FirePro 3D V8700, 
FirePro 3D V8750, 
FirePro 3D V8800, 
FirePro 3D V9800, 
FirePro 2260, 
FirePro 2270, 
FirePro 2450, 
FirePro 2460, 
FirePro M2000, 
FirePro M4000, 
FirePro M4000 Mobility Pro, 
Firepro M4100, 
FirePro M4150, 
FirePro M4170, 
FirePro M5100, 
FirePro M5100 FireGL V, 
FirePro M5950, 
FirePro M6000, 
FirePro M6000 Mobility Pro, 
FirePro M6100, 
FirePro M6100 FireGL V, 
FirePro M7740, 
FirePro M40003, 
FirePro R5000, 
FirePro RG220, 
FirePro S7000, 
FirePro S7150, 
FirePro S9000, 
FirePro S9050, 
FirePro S10000, 
FirePro V3800, 
FirePro V3900, 
FirePro V4900, 
FirePro V5700, 
FirePro V5800, 
FirePro V5900, 
FirePro V7000, 
FirePro V7800, 
FirePro V7900, 
FirePro V8700, 
FirePro V8800, 
FirePro V9800, 
FirePro W600, 
FirePro W2100, 
FirePro W4100, 
FirePro W4170M, 
Firepro W4190M, 
FirePro W4300, 
FirePro W5000, 
FirePro W5100, 
FirePro W5130M, 
Firepro W5170M, 
FirePro W6150M, 
FirePro W7000, 
FirePro W7000 Adapter, 
FirePro W7100, 
FirePro W7170M, 
FirePro W8000, 
FirePro W8100, 
FirePro W9000, 
FirePro W9100, 
FireStream 9170, 
FireStream 9250, 
FireStream 9270, 
FireStream 9370, 
GeCube RADEON 7000, 
GeForce2 Go, 
GeForce2 GTS/GeForce2 Pro, 
GeForce2 Integrated GPU, 
GeForce2 MX, 
GeForce2 MX 100/200, 
GeForce2 MX with DVI-D and TV-out, 
GeForce2 MX/MX 400, 
GeForce2 Ti, 
GeForce2 Ultra, 
GeForce3, 
GeForce3 Ti 200, 
GeForce3 Ti 500, 
GeForce4 420 Go, 
GeForce4 420 Go 32M, 
GeForce4 440, 
GeForce4 440 Go, 
GeForce4 440 Go 64M, 
GeForce4 448 Go, 
GeForce4 4200 Go, 
GeForce4 MX 420, 
GeForce4 MX 440, 
GeForce4 MX 440 with AGP8X, 
GeForce4 MX 440SE, 
GeForce4 MX 460, 
GeForce4 MX 4000, 
GeForce4 MX Integrated GPU, 
GeForce4 Ti 4200, 
GeForce4 Ti 4400, 
GeForce4 Ti 4600, 
GeForce4 Ti 4800, 
GeForce4 Ti 4800 SE, 
GeForce9400M, 
GeForce 205, 
GeForce 210, 
GeForce 240M GT, 
GeForce 256, 
GeForce 305M, 
GeForce 310, 
GeForce 310M, 
GeForce 315, 
GeForce 315M, 
GeForce 320M, 
GeForce 405, 
GeForce 410M, 
GeForce 505, 
GeForce 510, 
GeForce 605, 
GeForce 610M, 
GeForce 615, 
GeForce 705M, 
GeForce 710A, 
GeForce 710M, 
GeForce 720A, 
GeForce 730A, 
GeForce 770M, 
GeForce 800A, 
GeForce 800M, 
GeForce 810A, 
GeForce 810M, 
GeForce 820A, 
GeForce 820M, 
GeForce 825M, 
GeForce 830A, 
GeForce 830M, 
GeForce 840A, 
GeForce 840M, 
GeForce 845M, 
GeForce 910M, 
GeForce 920A, 
GeForce 920M, 
GeForce 920MX, 
GeForce 930A, 
GeForce 930M, 
GeForce 930MX, 
GeForce 940A, 
GeForce 940M, 
GeForce 940MX, 
GeForce 945A, 
GeForce 945M, 
GeForce 999 GTX, 
GeForce 6100, 
GeForce 6100 nForce 400, 
GeForce 6100 nForce 405, 
GeForce 6100 nForce 420, 
GeForce 6100 nForce 430, 
GeForce 6150, 
GeForce 6150 LE, 
GeForce 6150SE, 
GeForce 6150SE nForce 430, 
GeForce 6200, 
GeForce 6200 A-LE, 
GeForce 6200 LE, 
GeForce 6200 TurboCache, 
GeForce 6200A, 
GeForce 6200SE TurboCache, 
GeForce 6500, 
GeForce 6600, 
GeForce 6600 GT, 
GeForce 6600 LE, 
GeForce 6610 XL, 
GeForce 6700 XL, 
GeForce 6800, 
GeForce 6800 GS, 
GeForce 6800 GS/XT, 
GeForce 6800 GT, 
GeForce 6800 LE, 
GeForce 6800 Ultra, 
GeForce 6800 XE, 
GeForce 6800 XT, 
GeForce 7000M, 
GeForce 7000M / nForce 610M, 
GeForce 7025 / nForce 630a, 
GeForce 7050 / nForce 610i, 
GeForce 7050 / nForce 620i, 
GeForce 7050 / nForce 630i, 
GeForce 7050 PV / nForce 630a, 
GeForce 7100 / nForce 620i, 
GeForce 7100 / nForce 630i, 
GeForce 7100 GS, 
GeForce 7150 / nForce 630i, 
GeForce 7150M / nForce 630M, 
GeForce 7200 GS, 
GeForce 7300 GS, 
GeForce 7300 GT, 
GeForce 7300 LE, 
GeForce 7300 SE, 
GeForce 7300 SE/7200 GS, 
GeForce 7350 LE, 
GeForce 7500 LE, 
GeForce 7600 GS, 
GeForce 7600 GT, 
GeForce 7650 GS, 
GeForce 7800 GS, 
GeForce 7800 GT, 
GeForce 7800 GTX, 
GeForce 7900 GS, 
GeForce 7900 GT, 
GeForce 7900 GT/GTO, 
GeForce 7900 GTX, 
GeForce 7950 GT, 
