AMD A6-3410MX APU; Laptop; FS1; 1.6GHZ; 2.3GHZ; 4; 4; 45W; ; ; 
AMD A6-3420M APU; Laptop; FS1; 1.5GHZ; 2.4GHZ; 4; 4; 35W; ; ; 
AMD A6-3430MX APU; Laptop; FS1; 1.7GHZ; 2.4GHZ; 4; 4; 45W; ; ; 
AMD A6-3500 APU; Desktop; FM1; 2.1GHZ; 2.4GHZ; 3; 3; 65W; ; ; 
AMD A6-3600 APU; Desktop; FM1; 2.1GHZ; 2.4GHZ; 4; 4; 65W; ; ; 
AMD A6-3620 APU; Desktop; FM1; 2.2GHZ; 2.5GHZ; 4; 4; 65W; ; ; 
AMD A6-3650 APU; Desktop; FM1; 2.6GHZ; ; 4; 4; 100W; ; ; 
AMD A6-3670 APU; Desktop; FM1; 2.7GHZ; ; 4; 4; 100W; ; ; 
AMD A6-4400M APU; Laptop; FS1r2; 2.7GHZ; 3.2GHZ; 1; 2; 35W; ; ; 
AMD A6-4455M APU; Laptop; FP2; 2.1GHZ; 2.6GHZ; 1; 2; 17W; ; ; 
AMD A6-5200 APU; Laptop; FT3; 2.0GHZ; ; 4; 4; 25W; ; ; 
AMD A6-5345M APU; Laptop; FP2; 2.2GHZ; 2.8GHZ; 2; 2; 17W; ; ; 
AMD A6-5350M APU; Laptop; FS1r2; 2.9GHZ; 3.5GHZ; 2; 2; 35W; ; ; 
AMD A6-5357M APU; Laptop; FP2; 2.9GHZ; 3.5GHZ; 2; 2; 35W; ; ; 
AMD A6-5400B APU; Desktop; FM2; 3.6GHZ; 3.8GHZ; 1; 2; 65W; ; ; 
AMD A6-5400K APU; Desktop; FM2; 3.6GHZ; 3.8GHZ; 1; 2; 65W; ; ; 
AMD A6-6310 APU; Laptop; FT3; 1.8GHZ; 2.4GHZ; 4; 4; 15W; ; ; 
AMD A6-6400B APU; Desktop; FM2; 3.9GHZ; 4.1GHZ; 1; 2; 65W; ; ; 
AMD A6-6400K APU; Desktop; FM2; 3.9GHZ; 4.1GHZ; 1; 2; 65W; ; ; 
AMD A6-6420B APU; Desktop; FM2; 4.0GHZ; 4.2GHZ; 1; 2; 65W; ; ; 
AMD A6-6420K APU; Desktop; FM2; 4.0GHZ; 4.2GHZ; 2; 2; 65W; ; ; 
AMD A6-7000; Laptop; FP3; 2.2GHZ; 3.0GHZ; 2; 2; 17W; ; ; 
AMD A6-7310 APU; Laptop; ; 2.0GHZ; 2.4GHZ; 4; 4; 25W; ; ; 
AMD A6-7400K APU; Desktop; FM2+; 3.5GHZ; 3.9GHZ; 2; 2; 65W; ; ; 
AMD A6-7470K; Desktop; FM2+; 3.7GHZ; 4.0GHZ; 1; 2; 65W; ; ; 
AMD A6-7480; Desktop; FM2+; 3.5GHZ; 3.8GHZ; 2; 2; 65W; ; ; 
AMD A6-8500P; Laptop; BGA(FP4); 1.6GHZ; 3.0GHZ; 2; 2; 15W; ; ; 
AMD A6-8550; Desktop; FM2+; 3.7GHZ; 4.0GHZ; 2; 2; 65W; ; ; 
AMD A6-9200; Laptop; BGA; 2.0GHZ; 2.8GHZ; 2; 2; 10W; ; ; 
AMD A6-9210; Laptop; FP4; 2.4GHZ; 2.8GHZ; 2; 2; 15W; ; ; 
AMD A6-9220; Laptop; ; 2.5GHZ; 2.9GHZ; 2; 2; 15W; ; ; 
AMD A6-9220C; Laptop; FT4; 1.8GHZ; 2.7GHZ; 2; 2; 6W; ; ; 
AMD A6-9220e; Laptop; ; 1.6GHZ; 2.4GHZ; 2; 2; ; ; ; 
AMD A6-9225; Laptop; BGA(FT4); 2.6GHZ; 3.0GHZ; 2; 2; 15W; ; ; 
AMD A6-9230; Desktop; ; 2.6GHZ; 3.5GHZ; 2; 2; 15W; ; ; 
AMD A6-9400; Laptop; FT4; 2.4GHZ; 3.2GHZ; 2; 2; 10W; ; ; 
AMD A6-9500; Desktop; AM4; 3.5GHZ; 3.8GHZ; 2; 2; 65W; 45W; ; 
AMD A6-9500E; Desktop; AM4; 3.0GHZ; 3.4GHZ; 2; 2; 35W; ; ; 
AMD A8 PRO-7150B APU; Laptop; FP3; 1.9GHZ; 3.2GHZ; 4; 4; 19W; ; ; 
AMD A8 PRO-7600B APU; Desktop; FM2+; 3.1GHZ; 3.8GHZ; 4; 4; 65W; ; ; 
AMD A8-3500M APU; Laptop; FS1; 1.5GHZ; 2.4GHZ; 4; 4; 35W; ; ; 
AMD A8-3510MX APU; Laptop; FS1; 1.8GHZ; 2.5GHZ; 4; 4; 45W; ; ; 
AMD A8-3520M APU; Laptop; FS1; 1.6GHZ; 2.5GHZ; 4; 4; 35W; ; ; 
AMD A8-3530MX APU; Laptop; FS1; 1.9GHZ; 2.6GHZ; 4; 4; 45W; ; ; 
AMD A8-3550MX APU; Laptop; FS1; 2.0GHZ; 2.7GHZ; 4; 4; 45W; ; ; 
AMD A8-3800 APU; Desktop; FM1; 2.4GHZ; 2.7GHZ; 4; 4; 65W; ; ; 
AMD A8-3820 APU; Desktop; FM1; 2.5GHZ; 2.8GHZ; 4; 4; 65W; ; ; 
AMD A8-3850 APU; Desktop; FM1; 2.9GHZ; ; 4; 4; 100W; ; ; 
AMD A8-3870K APU; Desktop; FM1; 3.0GHZ; ; 4; 4; 100W; ; ; 
AMD A8-4500M APU; Laptop; FS1r2; 1.9GHZ; 2.8GHZ; 2; 4; 35W; ; ; 
AMD A8-4555M APU; Laptop; FP2; 1.6GHZ; 2.4GHZ; 2; 4; 19W; ; ; 
AMD A8-5500 APU; Desktop; FM2; 3.2GHZ; 3.7GHZ; 2; 4; 65W; ; ; 
AMD A8-5500B APU; Desktop; FM2; 3.2GHZ; 3.7GHZ; 2; 4; 65W; ; ; 
AMD A8-5545M APU; Laptop; FP2; 1.7GHZ; 2.7GHZ; 4; 4; 19W; ; ; 
AMD A8-5550M APU; Laptop; FS1r2; 2.1GHZ; 3.1GHZ; 4; 4; 35W; ; ; 
AMD A8-5557M APU; Laptop; FP2; 2.1GHZ; 3.1GHZ; 4; 4; 35W; ; ; 
AMD A8-5600K APU; Desktop; FM2; 3.6GHZ; 3.9GHZ; 4; 4; 100W; ; ; 
AMD A8-6410 APU; Laptop; BGA769(FT3b); 2.0GHZ; 2.4GHZ; 4; 4; 15W; ; ; 
AMD A8-6500 APU; Desktop; FM2; 3.5GHZ; 4.1GHZ; 2; 4; 65W; ; ; 
AMD A8-6500B APU; Desktop; FM2; 3.5GHZ; 4.1GHZ; 2; 4; 65W; ; ; 
AMD A8-6500T APU; Desktop; FM2; 2.1GHZ; 3.1GHZ; 2; 4; 45W; ; ; 
AMD A8-6600K APU; Desktop; FM2; 3.9GHZ; 4.2GHZ; 2; 4; 100W; ; ; 
AMD A8-7050; Laptop; ; 1.8GHZ; 3.0GHZ; 2; 2; 15W; ; ; 
AMD A8-7100 APU; Laptop; FP3; 1.8GHZ; 3.0GHZ; 4; 4; 19W; ; ; 
AMD A8-7200P; Laptop; FP3; 2.4GHZ; 3.3GHZ; 4; 4; 35W; ; ; 
AMD A8-7410 APU; Laptop; ; 2.2GHZ; 2.5GHZ; 4; 4; 25W; ; ; 
AMD A8-7500; Desktop; FM2+; 3.0GHZ; ; 2; 4; 65W; ; ; 
AMD A8-7600 APU; Desktop; FM2+; 3.1GHZ; 3.8GHZ; 2; 4; 65W; ; ; 
AMD A8-7650K; Desktop; FM2+; 3.3GHZ; 3.7GHZ; 2; 4; 65W; ; ; 
AMD A8-7670K; Desktop; FM2+; 3.6GHZ; 3.9GHZ; 4; 4; 95W; ; ; 
AMD A8-7680; Laptop; FM2+; 3.5GHZ; 3.8GHZ; 4; 4; 45W; ; ; 
AMD A8-8600P; Laptop; FP4; 1.6GHZ; 3.0GHZ; 2; 4; 15W; ; ; 
AMD A8-8650; Desktop; FM2+; 3.2GHZ; 3.8GHZ; 4; 4; 65W; ; ; 
AMD A8-9600; Desktop; AM4; 3.1GHZ; 3.4GHZ; 4; 4; 65W; 45W; ; 
AMD A9-9400; Laptop; FP4; 2.4GHZ; 3.2GHZ; 2; 2; 10W; ; ; 
AMD A9-9410; Laptop; FP4; 2.9GHZ; 3.5GHZ; 2; 2; 25W; ; ; 
AMD A9-9420; Laptop; ; 3.0GHZ; 3.4GHZ; 2; 2; 15W; ; ; 
AMD A9-9420e; Laptop; ; 2.6GHZ; ; 2; 2; ; ; ; 
AMD A9-9425; Laptop; BGA(FT4); 3.1GHZ; 3.7GHZ; 2; 2; 15W; 10W; ; 
AMD A9-9430; Desktop; ; 3.2GHZ; 3.5GHZ; 2; 2; ; ; ; 
AMD A9-9820; ; ; 2.3GHZ; 2.4GHZ; 8; 8; ; ; ; 
AMD A10 Micro-6700T APU; Laptop; FT3b; 1.2GHZ; 2.2GHZ; 4; 4; 5W; ; ; 
AMD A10 PRO-7350B APU; Laptop; FP3; 2.1GHZ; 3.3GHZ; 4; 4; 19W; ; ; 
