Al-Anbar, 31, AN, 53,476, 138,501, 1,771,656, Ramadi, active, , , 
Babil, 51, BB, 1,976, 5,603, 2,065,042, Hillah, active, , , 
Baghdad, 10, BG, 204.2, 529, 8,126,755, Baghdad, active, , , 
Basra, 61, BA, 7,360, 19,070, 2,908,491, Basra, active, , , 
Dhi Qar, 64, DQ, 5,000, 12,900, 2,095,172, Nasiriyah, active, , , 
Al-Qādisiyyah, 58, QA, 3,148, 8,153, 1,291,048, Al Diwaniyah, active, , , 
Diyala, 32, DI, 6,828, 17,685, 1,637,226, Baqubah, active, , , 
Duhok (Dahūk) (IKR) a.k.a. Dihok, 42, DA, 2,530, 6,553, 1,292,535, Dihok, active, , , 
Erbil (IKR) a.k.a. Hewlêr, 44, AR, 5,820, 15,074, 1,854,778, Hewlêr, active, , , 
Karbala, 56, KA, 1,944, 5,034, 1,218,732, Karbala, active, , , 
Kirkuk, 36, KI, 3,737, 9,679, 1,597,876, Kerkûk, active, , , 
Maysan, 62, MA, 6,205, 16,072, 1,112,673, Amarah, active, , , 
Muthanna, 66, MU, 19,980, 51,740, 814,371, Samawah, active, , , 
Najaf, 54, NA, 11,129, 28,824, 1,471,592, Najaf, active, , , 
Ninawa, 41, NI, 14,410, 37,323, 3,729,998, Mosul, active, , , 
Salah Al-Din, 34, SD, 9,556, 24,751, 1,595,235, Tikrit, active, , , 
Sulaymaniyah (IKR) (With Halabja) a.k.a. Silêmanî, 46, SU, 6,573, 17,023, 2,053,305, Silêmanî, active, , , 
Wasit, 52, WA, 6,623, 17,153, 1,378,723, Kut, active, , , 
Mosul, , , , , , , former, , Ninawa Governorate Duhok Governorate, 
Diwaniya, , , , , , , former, , Al-Qādisiyyah Governorate Muthanna Governorate Najaf Governorate, 
Dulaim, , , , , , , former, 1962, Al Anbar Governorate, 
Ramadi, , , , , , , former, 1976, Al Anbar Governorate, 
Muntafiq, , , , , , , former, 1976, Dhi Qar Governorate, 
Amara, , , , , , , former, 1976, Maysan Governorate, 
Kut, , , , , , , former, 1976, Wasit Governorate, 
"Baghdad, , , , , , , former, , Baghdad Governorate
Saladin Governorate, "
Kirkuk, , , , , , , former, 1976, Kirkuk Governorate, 
At-Ta'mim, , , , , , , former, 2006, Kirkuk Governorate, 
Kuwait Governorate (Military occupation between 1990 and 1991), , , , , , , former, 1991, State of Kuwait, 
