10.0.3, 14A551, 17 Oct 2016, 
10.1, 14B72, 24 Oct 2016, 
10.1, 14B72c, 24 Oct 2016, 
10.1.1, 14B100, 31 Oct 2016, 
10.1.1, 14B150, 09 Nov 2016, 
10.2, 14C92, 12 Dec 2016, 
10.2.1, 14D27, 23 Jan 2017, 
10.3, 14E277, 27 Mar 2017, 
10.3.1, 14E304, 03 Apr 2017, 
10.3.2, 14F89, 15 May 2017, 
10.3.2, 14F8089, 15 May 2017, 
10.3.2, 14F90, 15 May 2017, 
10.3.2, 14F91, 15 May 2017, 
10.3.3, 14G60, 19 July 2017, 
10.3.4, 14G61, 22 July 2017, 
11, 15A372, 19 Sep 2017, 
11.0.1, 15A402, 26 Sep 2017, 
11.0.1, 15A403, 03 Nov 2017, 
11.0.1, 15A8391, 03 Nov 2017, 
11.0.2, 15A421, 03 Oct 2017, 
11.0.3, 15A432, 11 Oct 2017, 
11.1, 15B93, 31 Oct 2017, 
11.1, 15B101, 31 Oct 2017, 
11.1.1, 15B150, 09 Nov 2017, 
11.1.2, 15B202, 16 Nov 2017, 
11.2, 15C114, 02 Dec 2017, 
11.2.1, 15C153, 13 Dec 2017, 
11.2.2, 15C202, 08 Jan 2018, 
11.2.5, 15D60, 23 Jan 2018, 
11.2.6, 15D100, 19 Feb 2018, 
11.3, 15E216, 29 Mar 2018, 
11.3, 15E218, 29 Mar 2018, 
11.3.1, 15E302, 24 Apr 2018, 
11.4, 15F79, 29 May 2018, 
11.4.1, 15G77, 09 July 2018, 
12, 16A366, 17 Sep 2018, 
12.0.1, 16A404, 08 Oct 2018, 
12.0.1, 16A405, 08 Oct 2018, 
12.1, 16B92, 30 Oct 2018, 
12.1, 16B93, 30 Oct 2018, 
12.1, 16B94, 07 Nov 2018, 
12.1.1, 16C50, 05 Dec 2018, 
12.1.2, 16C104, 20 Dec 2018, 
12.1.3, 16D39, 22 Jan 2019, 
12.1.3, 16D40, 22 Jan 2019, 
12.1.4, 16D57, 07 Feb 2019, 
12.2, 16E227, 25 Mar 2019, 
12.3, 16F156, 13 May 2019, 
12.3.1, 16F203, 24 May 2019, 
12.3.1, 16F8202, 28 May 2019, 
12.3.2, 16F250, 10 Jun 2019, 
12.4, 16G77, 22 July 2019, 
12.4.1, 16G102, 26 Aug 2019, 
12.4.2, 16G114, 26 Sep 2019, 
12.4.3, 16G130, 28 Oct 2019, 
12.4.4, 16G140, 10 Dec 2019, 
12.4.5, 16G161, 28 Jan 2020, 
12.4.6, 16G183, 24 Mar 2020, 
12.4.7, 16G192, 20 May 2020, 
12.4.8, 16G201, 15 July 2020, 
12.4.9, 16H5, 05 Nov 2020, 
12.5, 16H20, 14 Dec 2020, 
12.5.1, 16H22, 11 Jan 2021, 
12.5.2, 16H30, 26 Mar 2021, 
12.5.3, 16H41, 03 May 2021, 
12.5.4, 16H50, 14 Jun 2021, 
12.5.5, 16H62, 23 Sep 2021, 
13, 17A577, 19 Sep 2019, 
13.1, 17A844, 24 Sep 2019, 
13.1.1, 17A854, 27 Sep 2019, 
13.1.2, 17A860, 30 Sep 2019, 
13.1.2, 17A861, 30 Sep 2019, 
13.1.3, 17A878, 15 Oct 2019, 
13.2, 17B84, 28 Oct 2019, 
13.2.1, 17B90, 30 Oct 2019, 
13.2.2, 17B102, 07 Nov 2019, 
13.2.3, 17B111, 18 Nov 2019, 
13.3, 17C54, 10 Dec 2019, 
13.3.1, 17D50, 28 Jan 2020, 
13.4, 17E255, 24 Mar 2020, 
13.4, 17E8255, 24 Apr 2020, 
13.4.1, 17E262, 07 Apr 2020, 
13.4.1, 17E8258, 23 Apr 2020, 
13.5, 17F75, 20 May 2020, 
