A (1998)
A Aa E Ee (2009, Tamil)
A Aa E Ee (2009, Telugu)
A-ge-man (1990)
A-Haunting We Will Go (1942)
The A-Team (2010)
A.K.G. (2007)
Aa Ab Laut Chalen (1999)
Aa Chithrashalabham Parannotte (1970)
Aa Dekhen Zara (2009)
Aa Dinagalu (2007)
Aa Divasam (1982)
Aa Gale Lag Jaa: (1973 & 1994)
Aa Jaa Sanam (1975)
Aa Naluguru (2004)
Aa Neram Alppa Dooram (1985)
Aa Nimisham (1977)
Aa Okkadu (2009)
Aa Okkati Adakku (1992)
Aa Raathri (1983)
Aaaaaaaah! (2015)
Aaaah (2014)
Aaag Hi Aag (1999)
Aaah (2001)
Aaahh Belinda (1986)
Aabhaasam (2018)
Aabhijathyam (1971)
Aabra Ka Daabra (2004)
Aabroo (1943)
Aabroo (1968)
Aabshar (1953)
Aachariyangal (2012)
Aacharya (2006)
Aacharyan (1993)
Aachi & Ssipak (2006)
Aada Paduchu (1967)
Aadaalla Majaka (1995)
Aadab Arz (1943)
Aadama Jaichomada (2014)
Aadamkhor (1986)
Aadanthe Ado Type (2013)
Aadarsa Kutumbam (1969)
Aadarsham (1993)
Aadat Se Majboor (1982)
Aadavaallu Meeku Joharlu (1981)
Aadavari Matalaku Arthale Verule (2007)
Aadhaaram (1992)
Aadharsam (1982)
Aadharshila (1982)
Aadhi (2018)
Aadhi Haqeeqat, Aadha Fasana (1990)
Aadhi Mimansa (1991)
Aadhi Raat (1950)
Aadhi Raat Ke Baad (1965)
Aadhi Thaalam (1990)
Aadhityan (1993)
Aadhya Paadam (1977)
Aadhyamayi (1991)
Aadhyate Anubhavam (1987)
Aadhyathe Katha (1972)
Aadi (2002)
Aadi Mimansa (1991)
Aadi Velli (1990)
Aadipaapam (1979)
Aadithya (1996)
Aadmi (1939, 1968 & 1993)
Aadmi Aur Aurat (1984)
Aadmi Aur Insaan (1969)
Aadmi Khilona Hai (1993)
Aadmi Sadak Ka (1977)
Aadu (2015)
Aadu Magaadra Bujji (2013)
Aadu Puli (2011)
Aadu Puli Attam (1977)
Aadukalam (2011)
Aadum Koothu (2005)
Aadyakiranangal (1964)
Aadyathe Anuraagam (1983)
Aadyathe Kanmani (1995)
Aafat (1977)
Aag: (1948, 1994 & 2007)
Aag Aandhi Aur Toofan (1994)
Aag Aur Chingari (1994)
Aag Aur Daag (1970)
Aag Aur Shola (1986)
Aag Hi Aag (1987)
Aag Ka Dariya (1953)
Aag Ka Gola (1990)
Aag Ka Toofan (1993)
Aag Ke Sholay (1988)
Aag Laga Do Sawan Ko (1991)
Aag Se Khelenge (1989)
Aagadu (2014)
Aagamanam (1980)
Aagatha (1995)
Aagathan (2010)
Aagaya Thamaraigal (1985)
Aage Badho (1947)
Aage Kadam (1943)
Aage Ki Soch (1988)
Aagey Se Right (2009)
Aaghaaz (2000)
Aagneyam (1993)
Aagraham (1984)
Aah (1953)
Aaha Kalyanam (2014)
Aahaa..! (1997)
Aahaa Enna Porutham (1997)
Aahaa Ethanai Azhagu (2003)
Aahaa..! (1998)
Aahat \xe2\x80\x93 Ek Ajib Kahani (2010)
Aahuti (1950 & 1978)
Aahvaanam (1997)
Ai (2004)
Aai Bahar (1946)
Aaina: (1974 & 1993)
Aaj Ka Arjun (1990)
Aaja Nachle (2007)
Aakhree Raasta (1986)
Aakrosh: (1980, 1998 & 2010)
Aalvar (2006)
Aamdani Atthani Kharcha Rupaiyaa (2001)
Aamir (2008)
Aan (1952)
Aan: Men at Work (2004)
Aanaval Mothiram (1990)
Aandhi (1975)
Aankh Michouli (1942)
Aankhen: (1950, 1968, 1993 & 2002)
Aao Pyaar Karen (1994)
Aapathbandhavudu (1992)
Aap Mujhe Achche Lagne Lage (2002)
Aapo (1994)
Aar Paar (1954)
Aarakshan (2011)
Aaron Loves Angela (1975)
Aaru (2005)
Aarzoo (1999)
Aasai (1995)
Aashayein (2010)
Aashiq: (1962 & 2001)
Aashiq Banaya Aapne: Love Takes Over (2005)
Aashiq Awara (1993)
Aashiq Banaya Aapne (2005)
Aashiqui (1990)
Aathi (2006)
Aatish: Feel the Fire (1994)
Aatma: (2006 & 2013)
Aaye Din Bahar Ke (1966)
Aayitha Ezhuthu (2004)
Aayushkalam (1992)
Ab Dilli Dur Nahin (1957)
Ab Tak Chhappan (2004)
Ab Tak Chhappan 2 (2015)
Ab To Aaja Saajan Mere (1994)
Ab Tumhare Hawale Watan Saathiyo (2004)
Abacus: Small Enough to Jail (2016)
Abakada... Ina (2001)
Abala (1973)
Abalai Anjugam (1959)
Aballay (2010)
Abana (1958)
Abandon (2002)
Abandon de poste (2010)
Abandoned: (1949, 1955, 2001, 2010 & 2019)
The Abandoned: (1955 & 2006)
Abandoned and Deceived (1995 TV)
Abandoned Mine (2012)
The Abandonment (1916)
Abang Long Fadil (2014)
Abang Long Fadil 2 (2017)
Abar Aranye (2003)
Abar Basanta Bilap (2018)
Abar Boshonto (2019)
Abar Byomkesh (2012)
Abar Ekla Cholo (2016 TV)
Abar, the First Black Superman (1977)
Abar Tora Manush Ho (1973)
Abashiri Prison (1965)
ABBA: The Movie (1977)
Abbott and Costello in the Foreign Legion (1950)
Abbott and Costello Go to Mars (1953)
Abbott and Costello in Hollywood (1945)
Abbott and Costello Meet Captain Kidd (1952)
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde (1953)
Abbott and Costello Meet Frankenstein (1948)
Abbott and Costello Meet the Invisible Man (1951)
Abbott and Costello Meet the Keystone Kops (1955)
Abbott and Costello Meet the Killer, Boris Karloff (1949)
Abbott and Costello Meet the Mummy (1955)
Abby (1974)
ABCD (2005)
ABCD: Any Body Can Dance (2013)
ABCD 2 (2015)
The Abdication (1974)
Abduction: (1975 & 2011)
Abduction: The Megumi Yokota Story (2006)
Abe Lincoln in Illinois (1940)
Abel's Island (1988)
Aberdeen (2002)
Aberration (1997)
Abhijan (1962)
Abhimaan (1973)
Abhimanyu: (1948, 1989 & 1991)
Abnormal Family: Older Brother's Bride (1984)
Abominable: (2006 & 2019)
The Abominable Dr. Phibes (1971)
The Abominable Snowman (1957)
About Adam (2000)
About a Boy (2002)
About Cherry (2012)
About Elly (2009)
About Endlessness (2019)
About Last Night... (1986)
About Last Night (2014)
About Schmidt (2002)
About Time: (1962 & 2013)
Above the Law (1988)
Above the Mountains (1992)
Above the Rim (1994)
Above Suspicion: (1943 & 1995)
Abraham (1994)
Abraham and Eugenia: Stories from Jewish Cuba (1994)
Abraham Lincoln: (1924 & 1930)
Abraham Lincoln: Vampire Hunter (2012)
Abraham's Gold (1990)
Abraham's Valley (1993)
Abraxas, Guardian of the Universe (1991)
Abruptio (2022)
Absence of Malice (1981)
The Absent-Minded Professor (1961)
Absentia (2011)
Absolut Warhola (2001)
Absolute Power (1997)
Absolutely Anything (2015)
The Abyss (1989)
ACAB \xe2\x80\x93 All Cops Are Bastards (2012)
Acacia (2003)
Academy: (1996 TV & 2007)
Acapulco (1952)
Acapulco Gold (1976)
Acasa, My Home (2020)
Accattone (1961)
Acceleration (2019)
Acceptance (2009)
Accepted (2006)
Accidence (2018)
Accident: (1928, 1967, 1976, 1985, 2008, 2009, 2012 & 2013)
Accident 703 (1962)
Accident on Hill Road (2009)
Accident Man (2018)
Accidental Death (1963)
Accidental Hero (1992)
The Accidental Husband (2008)
The Accidental Spy (2001)
The Accidental Tourist (1988)
Accidents Happen (2009)
Accidents to the Taxes!! (1951)
Accidents Will Happen (1938)
Acci\xc3\xb3n mutante (1993)
The Accompanist (1992)
Accomplice (1946)
Accomplices (2009)
The Accountant: (2001 & 2016)
Accumulator 1 (1994)
Accused: (1936, 1964, 2005 & 2014)
