A-DATA Technology AO1P24HC8T1-BPGS 8GB, 74, 12.9, 5.9, DDR4,
A-DATA Technology AO1P24HC8T1-BQXS 8GB, 40, 13.6, 9.2, DDR4,
A-DATA Technology AO1P24HC8T1-BSFS 8GB, 34, 14.4, 10.1, DDR4,
A-DATA Technology AO1P24HCST2-BSCS 16GB, 28, 17, 13.6, DDR4,
A-DATA Technology AO1P26KC8T1-BPXS 8GB, 106, 13.1, 5.6, DDR4,
A-DATA Technology AO1P26KC8T1-BXFSHC 8GB, 34, 14.5, 12.1, DDR4,
A-DATA Technology AO1P26KC8T1-BXPS 8GB, 85, 12, 5.4, DDR4,
A-DATA Technology AO1P26KCST2-BWWS 16GB, 33, 15.6, 14.6, DDR4,
A-DATA Technology AO1P26KCST2-BZISHC 16GB, 36, 15.5, 14.2, DDR4,
A-DATA Technology AO1P29KC8T1-BY9SSB 8GB, 27, 18.4, 14.9, DDR4,
A-DATA Technology AO1P32MC8T1-BW3S 8GB, 25, 18.7, 15.8, DDR4,
A-DATA Technology AO1P32MCST2-BW4S 16GB, 33, 17.6, 15.6, DDR4,
A-DATA Technology AO1P32MCST2-BZPS 16GB, 29, 17.5, 16.6, DDR4,
A-DATA Technology AO1P32NC8T1-BCIS 8GB, 30, 16.6, 13.6, DDR4,
A-DATA Technology AO1P32NC8T1-BCSS 8GB, 39, 17.6, 13.9, DDR4,
A-DATA Technology AO1P32NC8T1-BZ4SHD 8GB, 39, 15.9, 12.3, DDR4,
A-DATA Technology AO1P32NC8W1-BD2SHC 8GB, 58, 16, 12, DDR4,
A-DATA Technology AO1P32NC8W1-BDAS 8GB, 49, 15.8, 11.5, DDR4,
A-DATA Technology AO1P32NC8W1-BDZS 8GB, 58, 16.3, 12.2, DDR4,
A-DATA Technology AO1P32NCSV1-BDBS 16GB, 46, 16.5, 13.5, DDR4,
A-DATA Technology AO1P32NCSV1-BEWS 16GB, 60, 15.1, 12.8, DDR4,
A-DATA Technology AO2P21FC4R1-BRFS 4GB, 26, 15.2, 10.8, DDR4,
A-DATA Technology AO2P21FC8R2-BRGS 8GB, 27, 18.7, 13.5, DDR4,
A-DATA Technology AO2P24HC8T1-BTBS 8GB, 34, 14, 8.6, DDR4,
A-DATA Technology AO2P24HCST2-BTCS 16GB, 79, 14.5, 8.6, DDR4,
