M1, Lausanne-Flon, Renens-Gare, 7.8, 15, green, 2 June 1991, Lausanne-Flon - Vigie - Montelly - Provence - Malley - Bourdonnette - UNIL-Chamberonne - UNIL-Mouline - UNIL-Sorge - EPFL - Bassenges - Cerisaie - Crochy - Epenex - Renens, 
M2, Ouchy-Olympique, Croisettes, 5.9, 14, red, 2008, Ouchy-Olympique - Jordils - Délices - Montriond - Grancy - Lausanne-Gare - Lausanne-Flon - Riponne - Maurice Béjart - Bessières - Ours - CHUV - Sallaz - Fourmi - Vennes - Croisettes, 
