
/rdb, Revolutionary Software; Inc., US, 1984, 2016, Commercial, Bash, BSD; Linux; OS X; Solaris; Windows, Proprietary, 
1010data, US, 2000, Commercial, 
3store, Southampton University, GB, 2003, 2006, Academic; Open Source, C, Supported languages:C, GPL v2, 
4D, Laurent Ribardière, FR, 1984, Commercial, Supported languages:SQL, iOS; OS X; Windows, Proprietary, 
4store, GB, 2009, Open Source, C, GPL v3, 
abhot, CN, 2017, Academic; Open Source, Java, Apache v2, 
Access, Microsoft, US, 1992, Commercial, C++, Supported languages:Visual Basic, Windows, Proprietary, 
Accumulo, US National Security Agency, US, 2008, Open Source, Java, Apache v2, 
AceDB, Richard M. Durbin; Jean Thierry-Mieg, GB, 1989, 2018, Academic; Open Source, C, GPL v2; LGPL v2, 
ActivePivot, ActiveViam, FR, Commercial, Java, Proprietary, 
ActorDB, Biokoda, SI, 2014, Commercial; Open Source, Erlang, Supported languages:Erlang, Linux; OS X; Windows, Mozilla Public License, 
Adabas, Software AG, DE, 1971, Commercial, Proprietary, 
Adaptive Server Enterprise, SAP, US, 1987, Commercial, C; C++, Supported languages:C; C++; Java; Perl; PHP; Python; Tcl, AIX; HP-UX; Linux; OS X; Solaris; Windows, Proprietary, 
Advantage Database Server, SAP, US, 1993, Commercial, Proprietary, 
Aerospike, Aerospike; Inc., US, 2009, Commercial; Open Source, C, Supported languages:C; C#; C++; Go; PHP; Python; Ruby; Rust, Linux, AGPL v3, 
AgensGraph, Bitnine Co; Ltd., US, 2013, Commercial; Open Source, C, Linux; OS X; Windows, Apache v2, 
Aito, Aito Intelligence, FI, 2017, Commercial, Scala, Hosted, Proprietary, 
AKDB, University of Zagreb, HR, 2009, Academic; Open Source, C, Linux; OS X; Windows, 
Akiban, Akiban Technologies, US, 2009, 2013, Commercial, 
Akumuli, RU, 2013, Open Source, C++, Apache v2, 
Akutan, eBay, US, 2019, Industrial Research; Open Source, Go, Apache v2, 
AlaSQL, Andrey Gershun, RU, 2014, Open Source, JavaScript, Supported languages:JavaScript, MIT, 
Alenka, US, 2012, 2017, Open Source, C, Apache v2, 
Algebraix, Algebraix Data, US, 2009, Commercial, Proprietary, 
AllegroGraph, Franz; Inc., US, 2004, Commercial, Lisp, Supported languages:C#; Clojure; Java; Lisp; Perl; Python; Ruby; Scala, Linux; OS X; Windows, Proprietary, 
Altibase, Altibase Corp., KR, 1999, Commercial; Open Source, C; C++, Supported languages:C; C++; Java, AIX; HP-UX; Linux; Windows, AGPL v3, 
Amisa Server, AmisaLabs, CA, 2014, 2016, Commercial, Hosted, 
AncelusDB, Time Compression Strategies, US, 1983, Commercial, Proprietary, 
AngstromDB, Amaury Bouchard, FR, 2013, 2013, Hobby; Open Source, C, Linux, Apache v2, 
AnnDB, Marek Galovic, CZ, 2020, Commercial, Proprietary, 
Antidote, SyncFree European Project, FR, 2015, Academic; Open Source, Erlang, Apache v2, 
AnzoGraph, Cambridge Semantics Inc., US, 2007, Commercial, Proprietary, 
AODBM, Daniel Waterworth, GB, 2011, 2011, Open Source, C, LGPL v3, 
Apollo, Facebook, US, 2014, Commercial, 
Arakoon, Incubaid, BE, 2010, 2015, Open Source, Ocaml, Apache v2, 
ArangoDB, ArangoDB GmbH, DE, 2011, Commercial; Open Source, C++, Supported languages:C#; Java; JavaScript; PHP; Python; Ruby, Linux; OS X; Solaris; Windows, Apache v2, 
ArcadeDB, Arcade Data Ltd, GB, 2021, Commercial; Open Source, Java, All OS with Java VM, Apache v2, 
Ardb, Yinqi Wen, CN, 2013, Open Source, C++, BSD, 
